neck_angle,spine_angle,forward_head_offset,shoulder_tilt
159.1539,166.9669,-0.0157,0.0466
162.4463,167.4271,-0.0137,0.0478
152.3088,167.4295,-0.0179,0.0481
165.0201,164.2306,-0.02,0.0493
160.5934,165.8924,-0.0186,0.0497
148.2178,167.465,-0.0179,0.0312
132.4956,171.6996,-0.0157,0.0319
135.5377,171.011,-0.0156,0.0315
170.2276,168.4895,-0.0107,0.037
158.677,169.8088,-0.0107,0.0299
149.5433,167.5004,-0.0038,0.0246
158.4661,167.3027,-0.007,0.0232
94.9543,171.556,-0.0264,0.012
99.4104,170.9608,-0.0257,0.0147
101.8783,170.8168,-0.0248,0.0158
104.8818,170.9592,-0.0228,0.0158
108.3429,170.4305,-0.0214,0.016
143.927,166.772,-0.0179,0.017
172.3212,164.8173,-0.0169,0.0178
159.3455,165.2671,-0.0129,0.0236
147.5978,164.6997,-0.0118,0.0256
148.1016,165.3055,-0.0109,0.0264
151.6216,165.3744,-0.0118,0.0275
158.7181,165.7071,-0.0124,0.0283
171.5116,166.079,-0.0142,0.0289
178.4589,166.3544,-0.0151,0.0296
176.4333,166.3458,-0.0157,0.0302
175.9395,166.2787,-0.0159,0.0301
175.139,166.2652,-0.016,0.0301
176.3645,167.1739,-0.0121,0.0299
144.4848,168.6495,-0.0187,0.0293
132.2744,169.4891,-0.0208,0.029
129.2586,169.3765,-0.0214,0.0271
125.6928,169.6446,-0.0217,0.0259
123.7472,169.6894,-0.0221,0.0254
122.0453,170.0959,-0.022,0.0255
121.5519,170.2784,-0.0218,0.0254
121.8064,170.2272,-0.0216,0.0251
121.3306,170.1901,-0.0218,0.0251
122.0361,170.0586,-0.0217,0.0249
132.1496,169.6453,-0.0186,0.0253
140.0952,169.3005,-0.017,0.026
143.1023,169.2589,-0.0162,0.0263
147.0468,169.1155,-0.0156,0.0272
151.369,168.4061,-0.0164,0.0282
153.1688,168.1351,-0.0169,0.029
165.5851,168.3704,-0.0137,0.0296
164.4415,168.3748,-0.0141,0.0303
163.39,168.3983,-0.0143,0.0302
161.9139,168.5599,-0.0141,0.0298
160.6877,168.6817,-0.0141,0.0293
166.5992,168.6628,-0.0126,0.0292
171.3809,167.5675,-0.0139,0.0302
167.9997,167.7867,-0.0143,0.0311
169.9702,167.8659,-0.0136,0.0307
174.8956,167.9517,-0.0122,0.0305
173.8974,168.1722,-0.012,0.0304
165.1894,168.1692,-0.007,0.0305
166.972,168.1546,-0.0076,0.0307
169.653,168.7246,-0.0071,0.0309
170.3698,168.4482,-0.0079,0.031
169.7574,168.4696,-0.0077,0.0312
161.6638,168.5028,-0.0053,0.0311
163.4945,168.585,-0.0056,0.0313
163.0822,168.6569,-0.0053,0.0311
164.0674,168.7388,-0.0054,0.0315
168.8387,169.0373,-0.0116,0.0313
162.1687,168.9982,-0.0134,0.0312
159.5901,168.9714,-0.0142,0.0309
156.3596,169.1764,-0.0147,0.0315
155.2907,169.6337,-0.0141,0.0319
