neck_angle,spine_angle,forward_head_offset,shoulder_tilt
137.8185,169.9828,0.0097,0.043
142.6395,171.7702,0.0111,0.0424
145.514,172.1062,0.0111,0.0445
148.676,172.7861,0.0116,0.0465
149.3874,173.6968,0.0132,0.0467
170.4959,175.7587,0.0088,0.0468
168.6521,173.6371,0.0062,0.0607
164.2109,174.0122,0.0084,0.0556
165.3189,174.351,0.0088,0.0546
160.5898,174.6349,0.0118,0.0551
144.6467,168.8165,0.0041,0.0563
139.9933,168.7406,0.0057,0.0489
145.6049,171.6696,0.0081,0.0463
157.2869,175.4944,0.0142,0.0437
135.4217,171.029,0.0074,0.0336
153.8949,175.2915,0.0111,0.038
156.2934,174.9604,0.0094,0.0362
155.5373,174.4178,0.0089,0.0379
155.8665,174.1817,0.009,0.0406
150.4532,171.4599,0.0072,0.0483
130.5984,165.7026,0.0016,0.0416
125.9886,161.5097,-0.0032,0.0424
131.4727,167.4423,0.0048,0.0407
142.2571,170.9375,0.0056,0.0397
140.9783,170.5678,0.0057,0.038
158.8819,173.3831,0.0046,0.0374
175.5035,176.2291,0.0069,0.0416
177.3435,175.7138,0.0069,0.0428
165.6209,175.408,0.0016,0.0433
170.5896,175.5729,0.0032,0.047
174.4966,175.1537,0.0036,0.056
171.1963,175.3134,0.0018,0.0611
178.0234,171.5469,-0.0022,0.0648
157.7344,167.9299,-0.0012,0.0589
150.5547,168.3866,0.0004,0.0471
177.1395,171.3813,-0.0034,0.0442
146.3355,166.5461,-0.0041,0.0466
146.7376,166.9263,-0.0043,0.0472
139.5092,162.7573,-0.0111,0.0442
126.5374,164.0775,-0.0015,0.0396
130.4957,164.3745,-0.0015,0.0432
132.7888,164.246,-0.002,0.0444
134.1854,164.7208,-0.0003,0.0466
139.2759,165.1916,-0.0004,0.0533
143.858,167.1143,0.0022,0.0559
131.8642,163.3613,-0.0041,0.0458
127.1789,161.4854,-0.0028,0.0489
143.2802,172.2374,0.0078,0.0433
160.7327,171.5477,-0.0009,0.0439
178.3302,176.1623,0.0097,0.0428
145.1564,176.5168,-0.0032,0.04
157.2434,175.8834,0.0015,0.0373
153.3132,175.2462,-0.0018,0.0361
175.5448,174.1788,0.0046,0.0287
176.8585,173.8123,0.0034,0.0293
175.5244,175.3351,0.0071,0.0324
168.3828,172.6334,0.0034,0.045
170.1309,172.6034,0.0026,0.0429
162.061,169.8312,-0.0021,0.0455
132.0055,162.8144,-0.0033,0.0463
136.3169,167.0551,0.0005,0.042
141.9608,170.3197,0.0042,0.0397
143.0105,169.0384,0.0023,0.0421
175.8359,173.9148,-0.0006,0.0418
171.8695,173.5959,0.0024,0.0402
130.6496,159.8675,-0.0146,0.041
118.9563,162.7211,-0.0039,0.0307
114.3162,159.0789,-0.0077,0.0276
104.6513,154.4809,-0.013,0.0151
112.1081,169.3346,0.0073,0.0175
119.0132,168.6218,0.0061,0.0229
118.8074,168.4813,0.0081,0.026
119.9023,167.8061,0.0072,0.0277
