neck_angle,spine_angle,forward_head_offset,shoulder_tilt
152.5716,163.9263,-0.0177,0.033
154.1579,164.3038,-0.0172,0.0367
147.7192,164.3696,-0.0184,0.0328
127.9008,165.8054,-0.0226,0.0318
132.9002,165.2713,-0.0223,0.0333
133.6714,166.9167,-0.0196,0.0348
127.2411,170.5799,-0.0167,0.0376
127.5985,170.9003,-0.0151,0.0383
125.7817,170.8616,-0.0161,0.0394
124.0912,170.8301,-0.0169,0.0394
123.7089,170.8687,-0.0168,0.0392
124.0697,170.5436,-0.0175,0.0404
124.371,170.7126,-0.0178,0.0417
125.7199,170.7335,-0.0184,0.0447
126.8459,170.8716,-0.0182,0.0465
126.2588,170.8066,-0.0188,0.0468
126.2984,170.7638,-0.0191,0.0468
126.5365,170.5998,-0.0191,0.0471
122.0689,170.4484,-0.0204,0.0425
115.7278,170.3726,-0.0232,0.0383
112.4382,170.5009,-0.0245,0.0357
111.0626,170.6257,-0.0254,0.0352
110.7564,170.7201,-0.0259,0.0354
112.8967,170.8157,-0.025,0.037
115.8997,170.8689,-0.023,0.0376
119.0868,170.8584,-0.0211,0.0382
123.7255,170.8661,-0.0183,0.039
127.0358,170.3443,-0.0176,0.0396
132.9188,169.4478,-0.0162,0.0399
142.8604,168.5103,-0.0136,0.0405
143.855,168.1333,-0.0146,0.0427
144.0819,167.9713,-0.0149,0.0431
143.2398,167.9638,-0.0154,0.0435
142.7511,167.9926,-0.0158,0.0441
142.834,168.0165,-0.016,0.0452
143.088,167.9899,-0.0163,0.0464
141.8765,167.9876,-0.017,0.0468
141.9623,168.1066,-0.0167,0.0469
136.66,168.4109,-0.0187,0.0468
134.9998,168.4852,-0.0193,0.0465
133.4145,168.4907,-0.0201,0.0465
129.0343,169.275,-0.0209,0.0458
129.6683,169.1895,-0.0208,0.0465
130.039,169.1398,-0.0208,0.0467
130.3543,169.0891,-0.0209,0.0471
130.7596,169.0769,-0.021,0.0477
130.8565,169.0429,-0.021,0.0477
130.7193,169.0449,-0.021,0.0474
130.8738,169.0533,-0.021,0.0474
130.1341,169.5592,-0.0204,0.0469
130.4634,169.418,-0.0205,0.0467
131.1965,169.2184,-0.0206,0.0471
133.4627,168.959,-0.0199,0.0473
134.9706,168.8504,-0.0193,0.0475
140.7323,168.5734,-0.017,0.0481
142.9043,168.1908,-0.0171,0.0494
143.5399,168.1612,-0.017,0.0495
142.8941,168.1232,-0.0175,0.0497
141.5993,168.1097,-0.0183,0.0497
141.2465,168.0669,-0.0186,0.0499
139.1363,168.0529,-0.0197,0.0496
139.0879,168.0608,-0.0197,0.0495
138.17,168.2419,-0.0198,0.0494
138.1425,168.2354,-0.0199,0.0495
140.6462,168.2415,-0.0186,0.0493
140.1298,168.2392,-0.0188,0.0492
148.7072,168.3808,-0.0147,0.0502
158.7648,168.4997,-0.0101,0.0485
