neck_angle,spine_angle,forward_head_offset,shoulder_tilt
109.9411,175.6729,-0.0158,0.0148
112.6779,175.6891,-0.0155,0.0169
116.0671,175.6346,-0.0149,0.0197
116.3806,176.0801,-0.0132,0.0195
121.3398,176.1773,-0.0128,0.0237
120.9072,176.8596,-0.0118,0.0255
120.7797,177.554,-0.0108,0.0269
120.4156,178.0087,-0.0117,0.0298
119.541,178.194,-0.012,0.0301
110.139,178.1274,-0.0115,0.0193
115.3575,177.5697,-0.0101,0.0209
115.0852,177.2988,-0.0101,0.0201
113.6268,177.4385,-0.0108,0.0197
113.6172,177.4118,-0.0114,0.0189
115.8568,177.7209,-0.0111,0.021
118.9331,178.8353,-0.0125,0.0287
102.5196,179.6609,-0.0151,0.0173
94.546,179.2078,-0.017,0.0105
102.2611,179.331,-0.0155,0.0193
100.0166,179.5008,-0.0133,0.0145
118.5002,179.5035,-0.0146,0.0404
119.3448,179.7315,-0.0147,0.0405
115.3798,179.6353,-0.0145,0.0343
110.8122,179.505,-0.0153,0.0294
108.2946,179.6074,-0.0149,0.0258
109.5099,179.7033,-0.0138,0.0263
104.0902,179.2431,-0.0142,0.0199
104.4502,178.9827,-0.0126,0.0187
104.2965,179.0589,-0.0125,0.0184
103.2361,178.9456,-0.0125,0.0172
102.3595,178.8932,-0.0126,0.0163
101.4149,178.9291,-0.0125,0.0152
98.0989,178.9454,-0.0124,0.0117
94.273,178.9709,-0.0158,0.0098
92.832,178.9864,-0.0176,0.0092
95.5769,179.125,-0.0134,0.0098
94.831,179.0537,-0.0136,0.0092
94.9263,179.3343,-0.0132,0.0093
94.0532,179.3468,-0.0129,0.0081
113.1996,179.4017,-0.0115,0.0288
110.141,179.3411,-0.0107,0.024
108.1103,179.2449,-0.0112,0.0222
117.0551,179.2279,-0.0107,0.0325
116.1481,179.186,-0.0106,0.0314
110.5249,179.2107,-0.0122,0.0262
109.4872,179.0769,-0.0123,0.025
104.1927,179.096,-0.0152,0.0218
101.8699,179.0876,-0.0151,0.0189
97.4531,179.2137,-0.0156,0.014
92.2979,179.0859,-0.0157,0.0079
92.2032,178.9245,-0.0156,0.0078
91.7343,179.3038,-0.0157,0.0074
89.9328,179.4899,-0.0155,0.0052
85.3823,179.5021,-0.0159,0.0001
83.0288,179.5584,-0.0143,0.0034
84.9547,179.6309,-0.0138,0.0013
86.0585,179.6093,-0.0106,0.001
86.116,179.7007,-0.0107,0.0009
102.8679,179.6654,-0.008,0.0142
97.2377,179.5657,-0.0082,0.0088
93.2809,179.4005,-0.0093,0.0056
90.5918,179.146,-0.0098,0.0032
88.6545,178.8606,-0.0102,0.0014
86.9709,177.9803,-0.0111,0.0001
96.236,177.7469,-0.0106,0.0078
94.703,177.6908,-0.0112,0.0067
104.208,177.5512,-0.0066,0.0112
108.213,177.1303,-0.0071,0.0149
102.0658,177.1775,-0.0113,0.0136
95.2534,177.4656,-0.0142,0.0091
92.3313,177.6207,-0.0137,0.006
101.5335,177.7961,-0.013,0.0147
105.1689,177.7483,-0.0127,0.018
88.2538,177.779,-0.013,0.0019
82.7793,178.0165,-0.0131,0.0033
98.6683,177.8302,-0.0129,0.012
