neck_angle,spine_angle,forward_head_offset,shoulder_tilt
87.7043,177.4009,-0.0301,0.0071
87.2612,177.8153,-0.0306,0.0071
89.0651,178.1958,-0.0303,0.009
92.8818,178.3876,-0.0302,0.0125
94.9208,178.6278,-0.0296,0.0144
95.2396,178.9847,-0.0294,0.0146
94.8046,178.8921,-0.0294,0.0143
94.4026,178.6495,-0.0294,0.0139
92.6369,178.5898,-0.0302,0.0128
91.4743,178.4112,-0.0305,0.0119
90.7985,178.3875,-0.0303,0.0111
89.6762,178.4582,-0.0306,0.0104
89.701,178.4435,-0.03,0.0101
89.2509,178.5879,-0.0299,0.0097
88.5704,178.7117,-0.0304,0.0095
88.1823,179.026,-0.0301,0.0092
88.3842,179.0379,-0.0301,0.0093
88.1751,179.056,-0.0302,0.0092
87.1672,179.2305,-0.0311,0.0089
87.1,179.3869,-0.0308,0.0087
88.0938,179.0898,-0.0291,0.0086
87.8796,178.986,-0.0291,0.0084
87.6939,178.7874,-0.0281,0.0075
87.347,178.7612,-0.0275,0.0068
87.3902,178.7672,-0.0274,0.0068
87.7614,178.7623,-0.0273,0.0071
88.985,178.7378,-0.0273,0.0083
89.6731,178.5932,-0.0277,0.0092
89.9652,178.42,-0.0279,0.0096
89.4814,178.3644,-0.0293,0.01
89.5603,178.3361,-0.0293,0.0101
89.5457,178.2623,-0.0293,0.01
89.4577,178.2401,-0.0295,0.01
89.1612,178.227,-0.0302,0.0101
89.4712,178.1175,-0.0303,0.0105
90.5136,177.9426,-0.0305,0.0116
91.0822,177.6643,-0.0307,0.0121
91.1208,177.452,-0.031,0.0121
91.5735,177.8587,-0.0304,0.0126
91.7766,178.4248,-0.0295,0.0129
91.5312,178.7457,-0.0291,0.0128
88.9581,178.5868,-0.0298,0.0104
86.438,178.6823,-0.0324,0.0091
86.508,178.1252,-0.0326,0.0089
86.0566,178.3521,-0.0333,0.0088
84.6526,178.8322,-0.0327,0.0069
84.0754,179.3295,-0.0323,0.006
83.0071,179.4803,-0.0321,0.0047
82.9241,179.5446,-0.0321,0.0046
82.7315,179.7163,-0.0313,0.004
82.7492,179.717,-0.0314,0.0041
82.9953,179.7151,-0.0313,0.0043
82.7862,179.7074,-0.0313,0.0041
82.7903,179.7094,-0.0312,0.0041
82.4538,179.7079,-0.0314,0.0038
82.0483,179.716,-0.0323,0.0038
82.3533,179.7012,-0.0316,0.0038
82.6873,179.5544,-0.0308,0.0038
81.2181,179.1658,-0.0307,0.0019
82.3544,178.6084,-0.0296,0.0025
84.3224,178.4714,-0.0286,0.004
85.9638,178.1912,-0.0265,0.0046
89.537,177.7171,-0.0247,0.0068
89.8781,176.2632,-0.0287,0.0086
88.218,175.5435,-0.0299,0.0075
88.4086,175.0811,-0.0289,0.007
88.9196,175.8774,-0.0265,0.0065
86.1908,176.0816,-0.0274,0.005
85.4837,177.186,-0.0272,0.0048
84.1588,177.2619,-0.0245,0.0023
82.1138,177.3518,-0.0229,0.0003
76.8521,177.2283,-0.0271,0.0048
74.8546,176.8373,-0.0269,0.0069
70.929,177.0196,-0.0247,0.0116
68.5444,176.7268,-0.0242,0.0138
68.6524,176.6245,-0.0232,0.0136
68.6283,176.7885,-0.0219,0.0137
68.4073,176.6306,-0.022,0.0137
68.7558,176.5937,-0.0214,0.0136
68.3604,176.8555,-0.0209,0.0143
68.8292,176.9796,-0.0206,0.0141
69.7479,177.5279,-0.0192,0.0142
70.4336,177.7244,-0.0197,0.0142
70.6494,178.0566,-0.0189,0.0145
70.8188,178.2774,-0.0184,0.0145
70.6395,178.4302,-0.0181,0.0149
70.7267,178.378,-0.0176,0.0147
70.2627,178.0689,-0.0173,0.0149
69.5616,177.8359,-0.0172,0.015
68.2669,177.2244,-0.0178,0.0153
66.9786,176.811,-0.0181,0.0161
65.9786,176.5247,-0.0179,0.0165
62.7172,176.4556,-0.0164,0.0186
62.2349,176.4202,-0.0161,0.0188
60.0144,176.3401,-0.015,0.0198
59.5925,176.3263,-0.0159,0.0201
60.554,176.2676,-0.0182,0.0205
60.8554,176.1236,-0.0188,0.02
61.0405,176.1267,-0.0192,0.0197
61.1166,176.1716,-0.0188,0.0195
62.1634,176.1375,-0.0185,0.0183
63.0439,176.0768,-0.0187,0.0175
64.2176,176.1755,-0.019,0.0166
65.9632,176.5366,-0.0206,0.0159
66.6109,176.8649,-0.0217,0.0161
66.8772,176.877,-0.0217,0.016
66.9992,176.9844,-0.0218,0.0162
67.3979,176.9825,-0.0216,0.0158
68.4062,176.9772,-0.0223,0.0151
68.2392,176.9361,-0.0232,0.0152
67.4518,176.7713,-0.0237,0.0159
67.3232,176.7044,-0.0239,0.016
67.2534,176.7098,-0.0241,0.016
67.029,176.7599,-0.0239,0.0161
66.9641,176.7953,-0.024,0.0161
67.8896,176.7327,-0.0233,0.0149
67.745,176.7396,-0.0234,0.015
