neck_angle,spine_angle,forward_head_offset,shoulder_tilt
89.2207,168.8171,-0.0186,0.0035
88.8747,168.9282,-0.0182,0.0031
88.8697,168.9686,-0.0181,0.0031
88.8233,169.0001,-0.0181,0.0031
89.1855,168.9917,-0.0181,0.0033
89.1181,169.0438,-0.0179,0.0032
89.3404,169.2318,-0.0173,0.0032
89.388,169.3646,-0.0168,0.0031
89.4568,169.5179,-0.0164,0.0031
89.5229,169.7583,-0.0154,0.0029
90.441,169.9335,-0.0146,0.0033
91.5167,170.1126,-0.0136,0.0037
93.3713,170.3539,-0.0129,0.0048
93.9566,170.6513,-0.012,0.005
94.0549,170.664,-0.0119,0.005
94.4543,170.8988,-0.0111,0.005
95.6022,171.2071,-0.0098,0.0055
97.0595,171.6909,-0.0079,0.0058
98.0037,171.8829,-0.0068,0.006
98.4632,171.8838,-0.0061,0.006
98.5278,172.1509,-0.0057,0.006
98.4838,172.2224,-0.0056,0.006
98.3746,172.2572,-0.0057,0.0059
97.9416,172.151,-0.0059,0.0058
97.2073,172.054,-0.0062,0.0054
96.7765,171.9984,-0.0063,0.0052
96.9328,172.0001,-0.0063,0.0053
96.2485,172.0545,-0.0067,0.0051
95.7992,172.0918,-0.0072,0.0051
95.7021,172.066,-0.0075,0.0051
95.1952,172.0337,-0.0076,0.0049
94.7355,171.9603,-0.0078,0.0046
94.5786,171.8808,-0.008,0.0046
94.5292,171.8322,-0.0082,0.0047
94.3789,171.7597,-0.0084,0.0046
94.3339,171.6644,-0.0085,0.0046
94.3403,171.5487,-0.0091,0.0048
94.3026,171.4704,-0.0093,0.0048
94.1138,171.3928,-0.0094,0.0047
94.1073,171.2795,-0.0095,0.0046
94.0147,171.2501,-0.0096,0.0046
93.8408,171.1811,-0.0098,0.0045
93.7822,171.1516,-0.0098,0.0044
93.8424,171.1001,-0.0097,0.0044
93.9902,171.0534,-0.0099,0.0046
94.1243,171.0251,-0.0104,0.0048
93.8439,171.0168,-0.0105,0.0047
94.4511,170.9689,-0.0104,0.005
94.322,171.1062,-0.0104,0.005
94.3762,171.19,-0.0103,0.0051
94.5515,171.2882,-0.0103,0.0052
94.4343,171.4562,-0.0103,0.0052
94.2589,171.4725,-0.0104,0.0052
94.2919,171.4873,-0.0105,0.0052
93.8782,171.463,-0.0106,0.0049
93.9489,171.4392,-0.0106,0.005
94.088,171.4416,-0.0108,0.0051
94.1272,171.3606,-0.0109,0.0052
94.1797,171.3126,-0.011,0.0052
94.2407,171.1896,-0.0111,0.0052
94.2756,171.1424,-0.0111,0.0052
94.304,171.1063,-0.0111,0.0052
94.2407,171.1038,-0.0111,0.0052
94.1823,171.1148,-0.0112,0.0052
93.9681,171.1652,-0.0112,0.0051
93.5067,171.1684,-0.0115,0.0049
93.2897,171.1845,-0.0115,0.0047
93.3529,171.1857,-0.0114,0.0048
93.4842,171.1905,-0.0113,0.0048
93.5792,171.2027,-0.0112,0.0048
93.6222,171.2147,-0.0111,0.0048
93.562,171.2246,-0.0111,0.0048
93.5956,171.2816,-0.011,0.0048
93.6157,171.376,-0.011,0.0048
93.4276,171.4287,-0.0109,0.0046
93.3181,171.4124,-0.0109,0.0046
93.3626,171.4118,-0.0108,0.0045
93.2436,171.4444,-0.0107,0.0044
93.0537,171.434,-0.0109,0.0043
91.9963,171.5247,-0.0112,0.0038
91.6743,171.5286,-0.0114,0.0036
90.8389,171.5656,-0.0116,0.0031
90.4499,171.4697,-0.0118,0.0029
90.7115,171.4971,-0.0115,0.003
