neck_angle,spine_angle,forward_head_offset,shoulder_tilt
65.9762,157.6066,-0.0412,0.0122
54.593,159.5049,-0.0408,0.0063
25.8047,161.0007,-0.0377,0.0039
100.4333,162.8579,-0.0367,0.0043
88.5662,163.4869,-0.0375,0.0054
88.034,165.5208,-0.0365,0.0072
84.0931,166.3614,-0.0372,0.0052
83.6419,168.1246,-0.0314,0.0029
82.23,169.164,-0.0272,0.0006
77.0498,170.433,-0.0227,0.0044
71.5546,171.0439,-0.0207,0.0087
64.9974,172.0022,-0.0198,0.015
61.816,172.9122,-0.0189,0.0188
61.0185,173.5813,-0.0186,0.0207
63.9695,174.2677,-0.0173,0.0187
64.4744,174.0695,-0.0174,0.018
69.2013,174.065,-0.0174,0.0133
69.1651,174.2307,-0.0155,0.013
70.5635,174.3991,-0.0138,0.0116
70.9002,174.6581,-0.0131,0.0116
73.8389,175.2633,-0.0122,0.0097
71.2704,175.6026,-0.0123,0.0119
71.0624,175.7957,-0.0118,0.012
70.21,175.7871,-0.0127,0.013
70.5405,174.9281,-0.0136,0.0124
67.5528,173.8783,-0.0148,0.014
65.9511,173.4646,-0.0163,0.0146
62.0792,172.0765,-0.018,0.0163
59.9849,170.2005,-0.0208,0.0153
59.524,169.0289,-0.0211,0.0138
54.1799,167.2985,-0.0225,0.0137
58.0017,167.2218,-0.0272,0.015
66.4704,166.5396,-0.0264,0.0085
68.6501,164.5978,-0.026,0.005
76.0566,163.86,-0.0284,0.0017
70.5337,163.097,-0.0282,0.0021
79.0055,162.6127,-0.0287,0.0003
49.6048,161.9226,-0.0276,0.0009
96.0011,161.085,-0.0253,0.0003
91.9726,159.9914,-0.0248,0.0019
88.126,158.4562,-0.0229,0.0049
85.0416,156.6887,-0.0273,0.0078
81.8315,155.9499,-0.0275,0.011
85.0419,155.0193,-0.024,0.0109
80.0075,153.9322,-0.0264,0.0166
79.1503,154.3587,-0.0266,0.018
80.8417,154.6852,-0.0243,0.0165
79.4833,154.7118,-0.0216,0.0187
79.2642,154.6832,-0.0238,0.0181
79.3236,154.3355,-0.024,0.0184
79.1821,154.4112,-0.0252,0.0179
80.7916,154.728,-0.0259,0.0163
79.2639,154.6517,-0.032,0.0147
81.4537,155.7068,-0.0323,0.0111
78.724,156.5847,-0.0382,0.0063
6.1253,157.7357,-0.0427,0.0044
52.8159,159.2206,-0.0377,0.0011
160.8393,160.2463,-0.0342,0.0039
84.3364,163.1618,-0.0384,0.0033
84.0227,164.1752,-0.0333,0.0024
82.1959,165.5459,-0.0324,0.0013
76.6113,167.3281,-0.0339,0.0025
76.2412,168.0716,-0.0283,0.0036
73.1702,169.0419,-0.0238,0.0062
73.8296,170.2585,-0.0205,0.0069
75.8432,171.4038,-0.0169,0.0072
73.4295,172.9601,-0.0135,0.0102
73.3344,173.6878,-0.0108,0.011
71.8563,174.012,-0.0076,0.0132
73.8905,173.4143,-0.0072,0.0116
77.8818,173.064,-0.0033,0.008
