neck_angle,spine_angle,forward_head_offset,shoulder_tilt
117.7588,167.7168,-0.0256,0.0276
118.4026,167.9484,-0.0253,0.0286
118.2928,168.0035,-0.0253,0.0286
117.484,167.984,-0.0256,0.028
116.7105,167.9546,-0.0256,0.0274
116.4236,167.9301,-0.0257,0.0272
116.1674,167.9757,-0.0257,0.027
115.9781,167.8723,-0.0259,0.027
115.8693,167.8857,-0.026,0.0269
114.976,167.9367,-0.0263,0.0262
115.0056,167.9165,-0.0264,0.0262
115.5728,167.7624,-0.0265,0.0262
116.0063,167.6974,-0.0264,0.0263
119.7437,167.4622,-0.0253,0.0272
118.0689,167.553,-0.0254,0.0267
116.1509,167.4988,-0.0258,0.0257
114.8039,167.548,-0.026,0.025
112.8527,167.614,-0.026,0.0232
112.0932,167.3234,-0.0258,0.022
112.4926,167.0761,-0.0256,0.0218
111.7803,167.1064,-0.0257,0.0214
110.9575,167.108,-0.0258,0.0209
111.1067,167.1427,-0.0258,0.021
111.3133,167.1635,-0.0256,0.021
111.6085,167.277,-0.0251,0.0209
111.4731,167.3806,-0.0249,0.0209
111.2282,167.4788,-0.0247,0.0208
110.1184,167.6713,-0.0246,0.0202
108.9882,167.7496,-0.0247,0.0194
108.5529,167.8229,-0.0247,0.0192
108.0037,167.895,-0.0247,0.0189
106.442,168.0301,-0.0253,0.0186
105.695,168.0735,-0.0256,0.0183
104.7266,168.0866,-0.026,0.0179
103.2588,168.1044,-0.0263,0.0169
103.2402,168.0421,-0.0265,0.017
103.3904,168.036,-0.0264,0.017
103.096,168.0157,-0.0261,0.0164
102.5066,168.0053,-0.0259,0.0156
101.5991,168.0312,-0.0258,0.0148
101.1,168.0473,-0.0261,0.0148
101.1123,168.0639,-0.026,0.0147
101.1767,168.1432,-0.0256,0.0146
101.3347,168.1676,-0.0253,0.0145
101.4729,168.1352,-0.0253,0.0145
101.4673,168.1539,-0.0252,0.0145
100.9119,168.1722,-0.0252,0.014
100.701,168.1555,-0.0252,0.0139
100.5774,168.1481,-0.0252,0.0138
100.359,168.0943,-0.0253,0.0136
100.1469,168.0417,-0.0253,0.0134
99.956,168.004,-0.0254,0.0132
100.0357,167.9454,-0.0254,0.0132
100.5485,167.8767,-0.0255,0.0136
100.6306,167.7414,-0.0257,0.0136
100.5545,167.7039,-0.0258,0.0135
100.6642,167.6865,-0.0258,0.0136
100.4926,167.6127,-0.026,0.0136
100.6763,167.5824,-0.0263,0.0139
99.2007,167.5408,-0.0272,0.0135
99.2415,167.4333,-0.0275,0.0136
98.9614,167.3268,-0.0281,0.0137
98.3656,167.2934,-0.0283,0.0133
97.8078,167.4901,-0.0287,0.0129
99.0527,167.6971,-0.0289,0.0138
99.2181,167.7199,-0.0291,0.0141
100.6044,167.2861,-0.0299,0.0159
109.1405,169.3983,-0.0329,0.029
112.6893,169.4866,-0.0326,0.033
111.5502,169.1164,-0.0336,0.0328
108.9169,168.953,-0.0344,0.0304
107.6618,168.9541,-0.0353,0.0303
106.352,169.1571,-0.034,0.0279
106.3298,169.4946,-0.0323,0.0267
104.4123,169.6485,-0.0317,0.0244
101.1721,169.8133,-0.0299,0.0201
100.4852,169.9441,-0.0297,0.0194
97.9666,170.1643,-0.0296,0.017
95.1294,170.329,-0.0294,0.0142
90.9871,170.34,-0.0291,0.0099
90.4185,170.3191,-0.029,0.0092
88.0889,170.3862,-0.0289,0.0069
86.6983,170.0509,-0.028,0.005
86.2278,169.7641,-0.028,0.0044
86.1074,169.6882,-0.0277,0.0041
86.2357,169.6468,-0.0274,0.0041
86.3005,169.5899,-0.0267,0.0038
85.4239,169.4325,-0.0258,0.0027
84.1566,169.3937,-0.0255,0.0016
84.7083,169.3843,-0.0246,0.0018
85.5742,169.4325,-0.0244,0.0023
86.2161,169.5474,-0.0242,0.0027
86.6496,169.6205,-0.0241,0.003
87.0976,169.6708,-0.0241,0.0033
87.8304,169.707,-0.0242,0.0039
88.3846,169.7173,-0.0243,0.0044
88.6757,169.7896,-0.0244,0.0046
88.7913,169.8353,-0.0243,0.0047
89.3206,169.8996,-0.0242,0.0051
89.2772,169.9539,-0.0242,0.0051
89.1455,169.9805,-0.0243,0.0051
88.9214,170.043,-0.0243,0.005
88.5935,170.0894,-0.0242,0.0047
88.6695,170.1078,-0.024,0.0047
88.6859,170.1794,-0.024,0.0047
88.8657,170.2125,-0.0237,0.0048
89.6239,170.2307,-0.0237,0.0053
91.9191,170.1988,-0.0242,0.0075
92.3233,170.3002,-0.0253,0.0088
93.0262,170.3284,-0.0261,0.01
93.8366,170.4619,-0.0255,0.0105
94.3139,171.0099,-0.0234,0.0102
95.5769,171.222,-0.0224,0.0111
95.9314,171.5023,-0.0228,0.0119
96.4209,171.5835,-0.0222,0.0121
97.4442,171.2719,-0.0202,0.0114
99.3827,171.6053,-0.018,0.0117
100.0554,171.9167,-0.0172,0.012
100.3367,172.05,-0.0167,0.012
101.0204,172.0811,-0.0157,0.0117
100.2666,172.1131,-0.0161,0.0114
99.1569,172.03,-0.0161,0.0106
98.9482,171.9148,-0.0162,0.0104
99.7761,171.7346,-0.0152,0.0104
99.4116,171.607,-0.0149,0.0098
99.1194,171.355,-0.0151,0.0096
98.2559,171.3296,-0.0155,0.0092
98.0615,171.2267,-0.0158,0.0091
97.5886,171.2562,-0.016,0.0089
96.8997,171.2559,-0.0164,0.0087
96.4858,171.2748,-0.0166,0.0085
96.2699,171.3556,-0.0167,0.0084
96.1774,171.3796,-0.0167,0.0084
96.3629,171.308,-0.0175,0.0089
96.6629,171.1527,-0.0181,0.0094
