neck_angle,spine_angle,forward_head_offset,shoulder_tilt
105.9435,155.2609,0.0031,0.0021
124.9389,154.9211,0.0056,0.0022
91.5229,156.8812,0.0094,0.0002
85.7557,160.1157,0.0133,0.0039
91.309,163.9458,0.0198,0.003
94.7339,165.3221,0.0247,0.0014
97.3257,166.4017,0.0276,0.0001
110.2301,166.2945,0.0299,0.0076
122.6175,167.0041,0.0382,0.0135
127.637,167.1899,0.0395,0.0182
112.6634,166.56,0.0396,0.0071
169.4287,165.4204,0.0514,0.0168
162.545,168.8455,0.0583,0.0147
172.5521,168.8445,0.0565,0.0083
146.84,174.3843,0.0554,0.0037
118.4649,162.0648,0.0559,0.0442
136.2556,157.6482,0.0445,0.0931
126.1632,158.3635,0.04,0.0511
140.3364,156.5269,0.0329,0.0716
108.8132,151.2286,0.0413,0.0482
106.6106,174.3991,0.0314,0.0143
73.0673,172.1594,0.041,0.0048
79.7866,169.3769,0.0622,0.0057
85.4042,178.5716,0.0717,0.0329
84.3007,169.4153,0.0565,0.0275
115.9949,165.2329,0.048,0.0636
117.3418,159.6079,0.0413,0.0653
112.7731,172.1396,0.0659,0.0596
111.1378,167.449,0.0645,0.0799
105.4276,163.6229,0.0774,0.0765
95.4706,88.0325,-0.0506,0.1005
102.9588,97.2309,-0.0636,0.0779
131.0785,89.5385,-0.0611,0.054
110.6838,92.0837,-0.0702,0.0788
123.1606,107.7142,-0.0591,0.0189
52.6255,175.6841,-0.0112,0.0329
66.967,175.7824,-0.009,0.0232
127.0156,170.1165,-0.0014,0.0245
96.8729,168.2411,0.0368,0.019
23.6583,169.1744,0.0312,0.0196
33.1125,171.5535,0.0151,0.0343
144.2677,162.7249,0.0287,0.0071
162.9745,165.4763,0.038,0.0209
121.1808,166.3413,0.0297,0.0108
78.3098,167.7576,0.0242,0.0112
109.7697,165.1077,0.0225,0.0078
107.8035,164.7288,0.0192,0.0073
126.1718,161.489,0.0149,0.0152
114.1749,160.852,0.0108,0.0081
148.1157,158.175,0.0086,0.0144
141.3061,155.8508,0.0038,0.0077
176.7748,151.1758,-0.0018,0.023
134.2772,148.025,0.0004,0.0217
114.6964,147.7171,-0.0032,0.0103
105.0769,146.3187,0.0002,0.0105
103.5726,145.3214,0.0017,0.0124
95.9994,144.4847,0.0089,0.0121
91.0411,142.4604,0.0126,0.0097
91.8931,140.7788,0.0112,0.0103
92.3637,137.0492,0.0057,0.0078
91.6548,136.2949,0.0054,0.0066
87.2468,134.2302,0.0062,0.0004
82.6635,134.3076,0.0118,0.0048
82.0816,133.8191,0.0082,0.0084
80.0107,133.0009,0.0071,0.0127
79.2717,128.2199,0.0042,0.0166
81.0725,128.7266,0.0066,0.0112
79.4026,128.7863,0.0066,0.0143
77.4269,129.8666,0.0083,0.0176
79.601,129.7396,0.0098,0.0129
79.9536,129.8958,0.0107,0.0116
79.1702,131.8441,0.0145,0.0098
78.7963,132.4935,0.0207,0.005
84.7607,131.8117,0.0172,0.0047
84.5347,133.0641,0.0196,0.0066
86.1555,131.2245,0.0142,0.0048
81.3,132.6011,0.0185,0.0016
81.6099,131.336,0.0194,0.0003
83.7433,132.5212,0.0241,0.01
84.2058,131.0434,0.0219,0.0098
85.364,129.9419,0.0196,0.0102
