neck_angle,spine_angle,forward_head_offset,shoulder_tilt
111.7682,176.202,-0.0179,0.0191
108.3973,176.084,-0.0251,0.0256
108.1384,176.0772,-0.025,0.0251
102.9488,176.4075,-0.0237,0.0186
104.2011,176.4093,-0.0237,0.0197
104.1605,176.4598,-0.024,0.02
107.8245,176.2752,-0.0215,0.0202
107.3582,176.4631,-0.0214,0.0201
107.758,176.5682,-0.0217,0.021
108.477,176.8902,-0.0263,0.0289
109.7,177.0476,-0.0261,0.0307
111.528,177.0548,-0.026,0.0329
112.8018,177.0349,-0.0245,0.032
111.63,176.979,-0.0248,0.0309
110.4329,177.0274,-0.0253,0.0302
108.5817,177.0559,-0.0264,0.0296
106.7004,177.203,-0.0265,0.0276
105.0185,177.413,-0.0281,0.028
103.034,177.7882,-0.0277,0.0255
103.095,177.9837,-0.0276,0.0258
103.9792,178.0705,-0.0276,0.0272
102.2058,178.3458,-0.0272,0.025
100.9619,178.6335,-0.0267,0.0234
102.7076,178.708,-0.0267,0.0258
102.1606,178.878,-0.0265,0.025
101.6884,178.9053,-0.0266,0.0243
100.4516,178.9516,-0.0263,0.0224
97.7465,178.9733,-0.0253,0.018
97.2777,178.9795,-0.0236,0.0158
97.5378,178.9668,-0.0234,0.016
99.6877,178.9869,-0.0251,0.02
96.287,178.9828,-0.024,0.015
94.3642,178.9561,-0.024,0.0128
94.4761,178.9899,-0.0239,0.013
94.2312,179.0185,-0.0246,0.0132
95.0028,179.144,-0.0252,0.0147
94.7146,179.1532,-0.0251,0.0143
96.4878,179.1324,-0.0258,0.0171
97.5193,179.1838,-0.0262,0.0187
95.3163,179.2151,-0.0245,0.0145
95.957,179.2015,-0.0232,0.0141
96.7579,179.0639,-0.0227,0.0143
96.7099,178.9704,-0.0229,0.0143
96.6354,178.9389,-0.0232,0.0145
96.0503,178.929,-0.0235,0.0141
95.7091,178.899,-0.0235,0.0137
94.8287,178.8576,-0.0237,0.0128
94.1796,178.7862,-0.0245,0.0127
93.178,178.7811,-0.0248,0.0118
94.6734,178.8136,-0.025,0.0134
94.7571,178.6145,-0.0254,0.0134
94.7497,178.5218,-0.0258,0.0135
94.6157,178.4398,-0.027,0.0141
93.4501,178.4115,-0.0286,0.014
92.3695,178.3707,-0.0296,0.0135
91.6538,178.3805,-0.0302,0.0132
90.968,178.3556,-0.0311,0.0131
90.5925,178.2743,-0.0316,0.0129
90.7522,178.1913,-0.0319,0.0133
90.5588,178.1261,-0.032,0.013
89.9177,178.035,-0.0322,0.0123
89.4709,178.0015,-0.0319,0.0115
89.114,177.9636,-0.032,0.0111
88.2088,177.9653,-0.032,0.01
87.4835,177.9646,-0.0321,0.0092
86.1497,177.9331,-0.0322,0.0076
