neck_angle,spine_angle,forward_head_offset,shoulder_tilt
95.0035,173.239,-0.0233,0.012
94.4203,173.1498,-0.0234,0.0116
93.4226,173.1705,-0.0234,0.0106
92.2944,172.8361,-0.0246,0.01
91.8847,172.7168,-0.0241,0.0092
91.8679,172.4186,-0.0249,0.0095
91.9746,172.2401,-0.0253,0.0096
93.2672,171.9986,-0.0258,0.0111
93.8923,171.9078,-0.026,0.0117
94.4447,171.7805,-0.0259,0.0121
95.5178,171.7189,-0.0257,0.013
96.1685,171.7257,-0.0255,0.0135
99.1876,171.7144,-0.0222,0.0135
100.8132,171.5712,-0.021,0.0137
100.7414,171.4734,-0.0228,0.0152
99.9939,171.6,-0.0233,0.0153
99.8065,171.6856,-0.0229,0.0151
99.5485,171.655,-0.0231,0.0152
98.8787,171.7226,-0.0211,0.0129
98.3077,171.8723,-0.0207,0.0122
97.3498,171.9912,-0.0217,0.0123
97.1797,171.9875,-0.0224,0.0127
96.9188,172.0421,-0.0228,0.0128
96.4203,172.0456,-0.0236,0.0129
96.6587,172.0583,-0.0223,0.0121
96.2252,172.0167,-0.0233,0.0125
95.6793,171.9784,-0.0237,0.0122
95.3121,171.916,-0.024,0.012
94.8215,171.8892,-0.0246,0.0119
94.4941,171.8746,-0.0245,0.0115
93.9861,171.9131,-0.0244,0.011
93.7204,171.9225,-0.0242,0.0107
92.9752,172.0088,-0.0237,0.0097
92.4722,171.9316,-0.0232,0.009
91.8896,171.9964,-0.0231,0.0084
91.1583,172.0691,-0.0232,0.0078
90.9185,172.1359,-0.0233,0.0076
91.2274,172.3717,-0.0237,0.0082
92.8455,172.4755,-0.024,0.01
93.4873,172.4891,-0.0236,0.0104
93.7183,172.4629,-0.0235,0.0104
94.0791,172.4328,-0.0234,0.0107
94.6506,172.4091,-0.0231,0.011
95.1308,172.3966,-0.0229,0.0113
95.6428,172.4133,-0.0229,0.0117
95.9386,172.4469,-0.0226,0.0118
96.6842,172.5088,-0.0214,0.0118
95.6909,172.5583,-0.0212,0.0108
95.2719,172.5137,-0.021,0.0104
94.658,172.5305,-0.0207,0.0096
94.3379,172.5601,-0.0207,0.0093
93.8054,172.6029,-0.0206,0.0088
93.6236,172.615,-0.0207,0.0087
92.2458,172.7428,-0.0209,0.0077
92.1952,172.5138,-0.0209,0.0076
92.451,172.3738,-0.0205,0.0075
90.4366,172.428,-0.0202,0.0057
90.3438,172.5973,-0.0195,0.0054
89.8557,172.8671,-0.0188,0.0047
89.2396,173.0702,-0.0187,0.004
89.943,172.7545,-0.0199,0.0052
89.9274,172.6356,-0.0201,0.0053
89.9353,172.6485,-0.02,0.0053
90.1093,172.6701,-0.0198,0.0053
90.4971,172.677,-0.0196,0.0056
90.6437,172.7065,-0.0192,0.0055
