neck_angle,spine_angle,forward_head_offset,shoulder_tilt
69.6125,172.6989,-0.0279,0.0089
67.4608,172.5556,-0.0275,0.0104
65.3808,172.7385,-0.0272,0.0121
63.6075,172.8159,-0.0271,0.0135
64.1477,172.7891,-0.027,0.0129
61.7143,172.2022,-0.0266,0.0135
62.56,172.729,-0.0266,0.0134
67.9517,172.8269,-0.0294,0.0099
77.7216,172.0589,-0.0316,0.0017
86.6045,171.7242,-0.0385,0.0076
87.4846,171.7319,-0.0382,0.0075
89.5911,172.1645,-0.0376,0.009
94.1029,172.657,-0.0355,0.0114
92.8605,172.4556,-0.0372,0.0108
92.2111,171.7466,-0.0379,0.0102
91.4104,172.4074,-0.0404,0.012
93.173,172.7945,-0.0385,0.0124
96.5529,173.1874,-0.0364,0.014
93.6197,173.3913,-0.0343,0.0104
91.7739,173.6844,-0.0339,0.0088
92.3748,173.7412,-0.0339,0.009
91.304,173.5913,-0.0337,0.008
93.7792,173.6319,-0.0328,0.0093
93.9756,173.6454,-0.0329,0.0092
95.4287,173.5361,-0.0329,0.0101
95.9823,173.7546,-0.0329,0.0103
91.8454,173.3366,-0.0334,0.0071
91.9845,172.9526,-0.0341,0.0071
92.4373,173.1406,-0.0342,0.0072
93.3478,172.2424,-0.0365,0.0084
91.9434,172.1031,-0.036,0.0071
83.0812,171.9502,-0.036,0.0019
78.9981,171.827,-0.035,0.0005
81.2549,171.8935,-0.0349,0.0007
80.2866,171.9761,-0.0332,0.0001
80.6452,172.0911,-0.0328,0.0
80.9439,171.6443,-0.0332,0.0002
82.0063,171.413,-0.0329,0.0007
85.4775,171.7616,-0.0329,0.0023
85.0124,171.7334,-0.0327,0.002
83.3311,171.8053,-0.0356,0.0019
86.0681,172.0235,-0.0335,0.0028
89.0965,172.7954,-0.0319,0.0043
91.5196,173.13,-0.0323,0.0062
93.6316,173.2406,-0.0321,0.0077
93.2553,173.8247,-0.0307,0.0074
94.2417,174.3721,-0.03,0.0082
96.9293,174.3021,-0.0268,0.0078
97.7474,174.3511,-0.0269,0.0084
99.464,174.3452,-0.0263,0.0091
102.3667,174.2767,-0.0264,0.0109
100.5536,174.5171,-0.0262,0.01
103.9435,174.4504,-0.0272,0.0129
103.2063,174.4632,-0.0276,0.0127
102.2763,174.2803,-0.0279,0.012
101.8524,174.2283,-0.0279,0.0116
102.9766,174.0606,-0.0281,0.0121
102.1259,174.1051,-0.0289,0.0122
101.9354,173.9025,-0.03,0.0127
104.3773,173.9594,-0.0311,0.0155
102.1274,173.8726,-0.0309,0.0135
99.4871,173.7414,-0.0307,0.0116
98.3655,173.6745,-0.0307,0.0108
100.0753,173.5593,-0.029,0.0103
94.2463,173.6216,-0.0286,0.0067
94.2368,173.6199,-0.0285,0.0067
94.0534,173.481,-0.0289,0.0066
97.9594,173.6407,-0.0294,0.0092
96.0573,173.4846,-0.0295,0.008
95.0821,173.5863,-0.0293,0.0075
96.8096,173.5678,-0.0293,0.0085
96.7933,173.5391,-0.0286,0.0081
97.3473,173.3961,-0.0287,0.0082
98.1377,173.2888,-0.0291,0.0084
91.0322,172.921,-0.0295,0.0046
90.1061,173.1038,-0.0291,0.0041
88.7717,173.2162,-0.0283,0.0032
86.6693,173.3407,-0.0271,0.0019
83.2529,173.3451,-0.0257,0.0002
86.9368,173.2827,-0.026,0.0017
95.8954,172.9361,-0.0309,0.0085
106.0134,172.6352,-0.0317,0.0158
107.111,172.5064,-0.0279,0.0119
99.954,172.8714,-0.0278,0.0079
106.5224,172.665,-0.0256,0.0081
119.8907,172.7851,-0.0258,0.0156
128.8632,173.5036,-0.0239,0.0266
125.9073,173.7158,-0.023,0.0259
129.3418,174.2256,-0.0225,0.0305
128.2742,173.3311,-0.0223,0.0301
127.0452,173.1363,-0.0229,0.0316
