neck_angle,spine_angle,forward_head_offset,shoulder_tilt
117.3855,162.5697,0.0128,0.0236
115.4213,161.9144,0.0126,0.0256
109.0651,160.9426,0.014,0.0244
108.9671,158.1129,0.0116,0.0242
108.3453,156.2412,0.0073,0.0218
108.0109,154.7396,0.004,0.0201
106.4162,154.2516,0.0051,0.0188
103.6292,154.0316,0.005,0.0159
101.3048,154.3494,0.0066,0.0143
99.8536,154.0243,0.0076,0.0134
101.7521,154.1138,0.0065,0.0146
102.2484,153.973,0.006,0.0147
106.9098,154.3287,0.0053,0.019
112.7901,154.468,0.0022,0.0215
114.9017,155.366,0.0031,0.023
114.9925,155.5515,0.0064,0.0265
119.7346,156.7311,0.0083,0.0307
119.3152,157.0367,0.0103,0.0316
120.9234,160.5419,0.0094,0.0315
125.8844,162.3024,0.0092,0.0338
131.5008,162.7108,0.0065,0.0324
156.1033,162.2747,0.0013,0.0368
162.0374,162.1516,0.0031,0.0409
173.0489,161.2786,0.0043,0.0408
177.785,161.7278,0.0084,0.0423
178.4191,163.4448,0.0093,0.0415
178.665,163.9695,0.0122,0.0392
168.589,164.9284,0.0141,0.0394
155.838,165.4991,0.013,0.0374
159.1027,165.5887,0.0162,0.0382
153.4825,167.1384,0.0186,0.0353
153.092,168.0208,0.0222,0.0339
154.6083,168.293,0.0245,0.0337
156.6309,168.1718,0.0253,0.0337
166.1404,168.8478,0.029,0.036
172.8855,168.8022,0.0312,0.0382
174.4661,168.6463,0.0312,0.0392
174.5835,168.5537,0.031,0.0394
174.1723,168.4892,0.0305,0.0396
162.0945,167.7488,0.0245,0.0381
157.9544,167.0892,0.0208,0.0372
157.9776,166.5673,0.02,0.0358
165.3183,165.5764,0.0192,0.0352
177.4682,164.1771,0.0194,0.0362
175.8037,163.3961,0.0183,0.0359
173.3661,161.9613,0.0157,0.0356
167.6225,161.45,0.0152,0.0367
165.07,160.5239,0.0159,0.0391
163.8062,159.8783,0.0145,0.0414
158.106,158.6136,0.0135,0.045
157.4527,157.9886,0.0115,0.047
155.2097,156.8677,0.008,0.0473
154.7631,156.4084,0.0063,0.0464
156.9071,156.4849,0.0034,0.0447
156.8428,156.3557,0.0023,0.0414
155.1728,156.022,0.0029,0.0434
164.0354,155.885,-0.0016,0.0425
164.5109,155.8689,-0.0021,0.0443
156.5791,155.7741,0.0001,0.0407
153.2058,155.6439,0.0007,0.0387
146.7556,154.9479,0.0021,0.0387
146.3976,154.2789,0.002,0.0392
146.9186,153.9733,0.002,0.0397
150.0816,154.3622,0.0018,0.0401
152.2184,155.0592,0.0035,0.041
154.3516,155.8389,0.006,0.0436
155.0434,156.3369,0.0082,0.0462
155.5167,156.8308,0.0103,0.0481
