neck_angle,spine_angle,forward_head_offset,shoulder_tilt
69.2913,168.5005,-0.0267,0.0107
68.4894,169.3791,-0.0282,0.0108
69.1582,169.4096,-0.0264,0.0104
72.1382,169.7566,-0.0256,0.0061
71.9669,170.2851,-0.0268,0.0053
74.2021,170.5996,-0.0223,0.0047
71.7402,170.6843,-0.0217,0.0076
71.3877,170.8318,-0.0214,0.0076
75.0837,170.998,-0.0216,0.003
72.1066,170.4623,-0.0265,0.004
69.1552,170.0031,-0.0285,0.0077
69.2741,170.275,-0.0284,0.0075
68.6064,170.2393,-0.0277,0.0091
68.5253,170.2462,-0.0275,0.0095
66.1606,170.8372,-0.0288,0.0118
62.9937,171.4095,-0.0309,0.0157
64.1575,171.5438,-0.0313,0.0135
64.3103,171.6794,-0.0321,0.0125
64.2697,171.3688,-0.0314,0.0132
70.0507,171.8565,-0.0224,0.0087
68.5091,172.5207,-0.0235,0.0098
63.184,172.2267,-0.0368,0.0124
62.0809,172.5636,-0.035,0.0152
59.5355,172.6547,-0.0366,0.0193
62.0072,171.7489,-0.0348,0.0167
63.4956,171.1575,-0.033,0.0153
69.2068,171.3029,-0.0164,0.0121
69.8986,171.8098,-0.0186,0.0111
66.6515,171.8834,-0.0191,0.0148
66.4538,172.0171,-0.0187,0.015
67.1505,172.1278,-0.0188,0.0141
66.68,172.2106,-0.0215,0.0141
66.4228,172.2029,-0.023,0.0141
66.2798,172.1124,-0.023,0.0141
61.5164,172.1728,-0.0284,0.0188
61.8536,171.9902,-0.0285,0.0187
61.9002,172.2468,-0.0275,0.0187
72.3962,172.3267,-0.0304,0.0002
75.1621,171.8189,-0.0281,0.0022
64.9887,173.4263,-0.0293,0.012
64.9494,173.3178,-0.0273,0.0126
62.6431,173.9218,-0.0278,0.0151
55.5985,176.9208,-0.0403,0.0193
55.6048,177.9729,-0.0421,0.0178
53.0948,179.4425,-0.0464,0.0187
54.7734,177.1432,-0.0547,0.0075
50.3799,176.2773,-0.0531,0.0177
49.2468,176.9202,-0.0509,0.0209
49.6953,176.5381,-0.0505,0.0198
50.1595,177.0231,-0.048,0.0202
49.1122,176.435,-0.0474,0.0211
56.8042,175.8658,-0.0534,0.002
56.9473,175.4084,-0.0523,0.0025
57.6135,176.1143,-0.0502,0.0031
50.611,178.2974,-0.0503,0.0181
48.7862,178.9815,-0.0492,0.0232
48.5381,178.6196,-0.038,0.0252
47.1124,179.1307,-0.038,0.0281
44.1209,179.1984,-0.0413,0.0332
44.2829,178.9224,-0.0426,0.0333
44.9111,179.6028,-0.0412,0.0334
50.7919,178.7086,-0.0423,0.021
