neck_angle,spine_angle,forward_head_offset,shoulder_tilt
62.5038,176.9844,-0.0329,0.0156
58.1518,176.5156,-0.0331,0.021
57.2169,177.6416,-0.0321,0.0225
55.0501,177.726,-0.0316,0.026
59.257,177.24,-0.03,0.0199
58.4948,177.4417,-0.0301,0.0211
56.6936,177.5278,-0.0312,0.0237
56.1703,177.4855,-0.0317,0.0242
53.5607,177.4918,-0.0328,0.0284
56.8733,177.5394,-0.0318,0.0235
58.1872,177.8628,-0.0283,0.0212
57.3743,178.1903,-0.0277,0.0219
58.3707,178.3122,-0.0279,0.0205
60.8442,178.2711,-0.0254,0.0174
63.7667,178.0249,-0.026,0.0139
64.0914,178.0395,-0.0261,0.0136
68.544,177.9303,-0.0263,0.0087
65.645,177.6949,-0.0271,0.0119
66.8453,177.6608,-0.0269,0.0106
67.332,177.6359,-0.027,0.0101
68.1165,177.5819,-0.0271,0.0091
70.0799,177.5774,-0.0266,0.0072
71.735,177.6062,-0.0261,0.0056
72.5046,177.6912,-0.0259,0.0049
69.7558,177.7396,-0.0259,0.0079
69.3303,177.6222,-0.0251,0.0082
71.4146,177.446,-0.0258,0.0059
71.0597,177.4649,-0.0267,0.006
71.453,177.445,-0.0275,0.0054
69.1698,177.5013,-0.0274,0.0081
73.5965,177.3144,-0.0276,0.0028
67.4263,177.4984,-0.0273,0.0099
66.0924,176.4268,-0.0275,0.0112
64.7662,176.3915,-0.031,0.0121
63.0725,176.1792,-0.0318,0.0141
62.3866,176.2676,-0.0317,0.0152
