neck_angle,spine_angle,forward_head_offset,shoulder_tilt
98.9283,179.6788,-0.0482,0.0292
92.2081,179.6605,-0.0526,0.0257
96.803,179.4605,-0.0523,0.0321
97.5552,179.3748,-0.0521,0.0334
96.4723,179.3768,-0.0523,0.0319
96.0636,179.3516,-0.0523,0.0311
96.1159,179.4545,-0.0525,0.0313
97.0693,179.5381,-0.0528,0.0331
98.0674,179.3728,-0.0528,0.0348
97.8585,179.5744,-0.0528,0.0346
98.9378,179.7031,-0.0527,0.0363
99.8058,179.7135,-0.0522,0.0368
99.6806,179.6436,-0.0526,0.0369
102.6662,179.6704,-0.0498,0.0364
102.3019,179.6091,-0.0501,0.0362
102.3058,179.6138,-0.0496,0.0364
102.4566,179.4972,-0.0493,0.0363
101.9908,179.7138,-0.0495,0.0361
101.3658,179.6917,-0.0494,0.0354
101.3963,179.7125,-0.0494,0.0356
102.2171,179.7071,-0.0494,0.037
101.3918,179.6203,-0.0497,0.0376
101.1723,178.9731,-0.0493,0.037
100.5257,178.576,-0.05,0.0376
100.3284,178.4397,-0.05,0.0374
100.4905,178.5951,-0.0498,0.0372
100.4905,178.4974,-0.0498,0.0372
100.7957,178.7523,-0.0494,0.0369
100.1475,179.0277,-0.0499,0.0368
100.6973,179.0781,-0.0489,0.036
99.4864,178.7138,-0.0491,0.0348
98.9906,178.5555,-0.0493,0.0346
98.7563,178.5374,-0.0491,0.0343
100.604,178.4713,-0.0487,0.0374
102.2206,178.3782,-0.0482,0.0396
102.5232,178.4123,-0.0483,0.0401
103.0076,178.4717,-0.0485,0.041
95.2668,178.0273,-0.0531,0.0351
97.7159,177.9444,-0.0509,0.0363
98.545,177.7247,-0.0508,0.0375
92.4002,177.8181,-0.0562,0.0356
94.1392,177.3561,-0.0547,0.0365
93.4189,176.874,-0.0564,0.0384
91.5827,176.1693,-0.0578,0.0384
94.2256,176.1479,-0.055,0.0392
97.051,175.7985,-0.0527,0.0414
94.1976,176.089,-0.0558,0.0411
87.7696,175.6878,-0.0583,0.0319
97.123,175.456,-0.0509,0.0381
91.6243,175.3554,-0.0529,0.0314
97.4553,175.4128,-0.05,0.0374
95.7365,175.8006,-0.0508,0.0368
91.1106,175.5297,-0.0557,0.0366
92.418,175.379,-0.0569,0.0421
94.7342,175.1409,-0.0562,0.0467
92.9071,175.1983,-0.057,0.0433
93.1845,174.9894,-0.0568,0.0436
103.7781,174.7596,-0.0485,0.0498
92.8636,174.5306,-0.059,0.0472
91.5271,174.634,-0.0596,0.0448
93.3487,174.5678,-0.0604,0.0492
89.9304,174.9537,-0.0603,0.04
89.5994,174.8457,-0.0602,0.039
92.3335,174.7762,-0.0593,0.0439
92.3111,174.6979,-0.0601,0.0451
92.3739,174.5194,-0.0602,0.0458
92.0879,174.4842,-0.0601,0.0455
94.6903,173.9895,-0.0578,0.0474
94.7225,174.0906,-0.0583,0.0481
92.6047,173.76,-0.0594,0.0447
92.0317,173.7344,-0.062,0.0484
91.9341,173.5365,-0.062,0.048
92.3477,173.3911,-0.0619,0.0487
93.4711,173.4631,-0.0619,0.0516
94.1169,173.4424,-0.061,0.0515
93.7864,173.3958,-0.0609,0.0515
94.492,173.343,-0.0597,0.051
94.5712,173.9402,-0.06,0.0508
94.9082,173.8447,-0.06,0.0516
96.7673,173.7113,-0.0599,0.0546
96.8681,173.7031,-0.0606,0.0567
95.5435,173.4294,-0.062,0.0563
94.8706,173.5067,-0.0624,0.0549
92.4897,173.9656,-0.0623,0.0496
92.3254,174.1212,-0.0622,0.0499
92.7659,173.5567,-0.0623,0.0512
93.9507,173.8101,-0.0615,0.0508
