neck_angle,spine_angle,forward_head_offset,shoulder_tilt
81.5406,157.3725,-0.0577,0.0156
82.1252,157.4524,-0.0579,0.0159
82.5636,157.5085,-0.058,0.0162
82.3428,157.7396,-0.058,0.0161
81.2401,158.2144,-0.0577,0.0158
82.1823,158.3441,-0.0567,0.0153
82.6148,158.5691,-0.0565,0.0155
82.4083,158.7664,-0.0566,0.0154
82.7033,159.0394,-0.0566,0.0155
82.7461,159.2798,-0.0566,0.0156
82.1838,159.3403,-0.0567,0.0152
81.3107,159.3943,-0.0572,0.0151
80.3021,159.7069,-0.0573,0.0148
80.2205,159.7712,-0.0574,0.0147
83.955,159.7378,-0.0575,0.018
85.6254,159.8897,-0.0575,0.0192
86.4091,159.9148,-0.0577,0.0198
86.4438,159.911,-0.0578,0.0199
86.0298,159.9722,-0.058,0.0199
85.0863,160.0182,-0.0587,0.02
84.7094,160.1089,-0.0593,0.0205
83.4693,159.4745,-0.0593,0.0194
82.0862,159.0707,-0.0594,0.0183
80.9159,158.5507,-0.0596,0.0173
80.7788,158.3501,-0.0599,0.0171
80.733,158.1193,-0.0599,0.0171
79.2848,157.4368,-0.0601,0.0158
79.1812,156.9715,-0.0603,0.0156
79.0796,157.1217,-0.0605,0.0158
78.3446,156.7571,-0.0604,0.0149
78.2725,156.4863,-0.0602,0.0146
77.2112,156.9458,-0.0609,0.0146
76.9929,156.9618,-0.0609,0.0146
76.7314,156.976,-0.0608,0.0147
76.5674,156.8603,-0.0607,0.0146
77.1301,156.9793,-0.061,0.0153
76.7376,157.4799,-0.0606,0.0154
75.3592,157.9475,-0.061,0.0154
74.9959,158.1538,-0.061,0.0154
74.9259,158.1605,-0.0609,0.0153
74.7654,158.0829,-0.0602,0.0143
74.7908,157.9671,-0.0595,0.0136
74.4617,157.8263,-0.0591,0.0128
73.4625,157.7168,-0.059,0.0118
73.4837,157.8885,-0.0589,0.0118
73.7791,158.1151,-0.0591,0.0121
74.4909,158.1471,-0.0585,0.012
75.3584,158.0907,-0.0584,0.0126
75.2181,158.0538,-0.0585,0.0125
76.7426,158.4009,-0.0589,0.0139
82.1297,159.91,-0.0617,0.0212
83.2222,160.4763,-0.0645,0.0262
89.1718,161.6942,-0.0642,0.0309
98.5257,163.5772,-0.0628,0.0405
107.2209,166.1178,-0.0624,0.0506
105.3853,167.8015,-0.0614,0.0493
106.488,168.9689,-0.0595,0.0492
107.8206,170.4223,-0.0564,0.0504
110.3804,170.8913,-0.0557,0.0515
105.9837,171.4318,-0.0555,0.0433
93.8662,170.3811,-0.0618,0.0309
93.9914,170.8945,-0.0603,0.0278
94.3134,171.0988,-0.0593,0.027
94.4845,171.4496,-0.0592,0.0275
93.9692,171.1261,-0.0588,0.0267
92.9991,170.9928,-0.0605,0.0278
94.5574,171.0703,-0.0599,0.0295
93.3208,171.379,-0.0596,0.0277
93.8113,171.7839,-0.0592,0.0283
94.0814,171.6496,-0.0591,0.0286
94.9413,171.5632,-0.0584,0.0288
96.6256,171.5049,-0.0566,0.0289
96.2604,171.4486,-0.0562,0.0279
96.2306,171.2939,-0.056,0.0277
97.976,170.8643,-0.0548,0.0284
99.5634,171.318,-0.0539,0.0307
100.9472,172.1039,-0.0538,0.0342
101.1219,172.4875,-0.054,0.0355
101.7817,172.5124,-0.054,0.0367
101.5144,172.5936,-0.0543,0.0367
102.3776,172.8683,-0.054,0.0385
101.9031,173.0256,-0.0542,0.0384
102.3375,173.0595,-0.0543,0.0393
103.977,173.1073,-0.0543,0.042
106.2035,172.8359,-0.0533,0.0427
106.9065,172.8272,-0.0535,0.0438
104.4038,172.5998,-0.0564,0.0432
105.431,172.1174,-0.0565,0.0438
105.2438,172.223,-0.0568,0.0442
102.7947,171.7818,-0.0575,0.0414
98.093,170.5068,-0.0586,0.0353
94.6215,169.7716,-0.0607,0.0323
95.2566,169.4946,-0.0605,0.0327
94.5033,168.9737,-0.0575,0.0283
100.2558,170.3608,-0.0563,0.0368
99.5898,170.9647,-0.0573,0.0385
98.8364,171.1111,-0.0578,0.0382
97.2823,171.0719,-0.0601,0.0398
96.1145,170.9177,-0.0606,0.0394
93.4323,170.6451,-0.0616,0.0369
92.4256,170.5804,-0.0624,0.037
92.006,170.6455,-0.0625,0.0365
91.3374,170.6078,-0.0627,0.036
90.9724,170.6487,-0.0632,0.0361
