neck_angle,spine_angle,forward_head_offset,shoulder_tilt
93.9381,160.4976,-0.0165,0.0179
94.0039,160.4786,-0.0177,0.0189
94.7798,160.4198,-0.0163,0.0188
94.7119,160.3508,-0.0165,0.0187
94.2012,159.9442,-0.0165,0.0179
93.4976,159.854,-0.0165,0.0166
93.325,159.003,-0.0157,0.0157
90.8415,158.8724,-0.0158,0.0113
90.7729,158.8506,-0.0156,0.0111
90.5375,158.2362,-0.0139,0.0095
89.7973,157.5952,-0.0115,0.0067
88.9726,156.8597,-0.0095,0.004
88.4645,156.5094,-0.0083,0.0024
88.9933,156.3718,-0.0074,0.0027
89.5806,156.3402,-0.0078,0.0039
90.3736,156.4245,-0.0081,0.0055
91.1324,156.6624,-0.0085,0.007
92.1186,156.8132,-0.0091,0.009
91.9568,157.5932,-0.0109,0.0098
90.9359,158.4365,-0.0141,0.0102
91.0239,159.6395,-0.0162,0.0113
90.6693,160.7264,-0.0188,0.0122
90.1481,161.1301,-0.0212,0.013
90.1674,161.4112,-0.0224,0.0142
89.5693,161.6345,-0.0253,0.0155
89.9729,160.8002,-0.0261,0.0175
91.1256,161.3109,-0.0274,0.0204
91.0891,161.4882,-0.0287,0.0214
92.2335,161.3482,-0.0271,0.0218
92.6232,161.4041,-0.0267,0.022
92.7407,161.5733,-0.0271,0.0222
92.5614,161.7209,-0.0279,0.0225
92.5905,161.7545,-0.028,0.0226
92.924,161.7139,-0.028,0.0232
93.1026,161.8125,-0.0277,0.0233
93.1512,161.8852,-0.0277,0.0233
93.3965,161.8834,-0.0277,0.0238
93.3844,161.9819,-0.0279,0.0239
93.5676,162.0364,-0.0278,0.0241
93.8963,162.0,-0.0274,0.0243
94.4476,161.9726,-0.0266,0.0244
94.3356,161.9532,-0.0267,0.0242
93.8914,161.9592,-0.027,0.0236
93.5675,161.9512,-0.0271,0.0232
93.2392,162.1466,-0.0274,0.0227
93.1021,162.1464,-0.0275,0.0225
92.9248,162.3414,-0.0277,0.0222
92.9578,162.2942,-0.0277,0.0223
93.4038,162.2524,-0.0274,0.0228
93.6712,162.1988,-0.0273,0.0232
94.085,162.136,-0.027,0.0238
94.1646,162.1208,-0.027,0.0239
94.0728,162.1275,-0.027,0.0237
94.0812,162.1009,-0.0269,0.0237
94.1259,162.0056,-0.0267,0.0237
94.1556,161.9097,-0.0264,0.0236
94.4481,161.7455,-0.026,0.0239
94.1247,161.6489,-0.0258,0.0233
93.6529,161.4902,-0.0257,0.0225
93.3616,161.3755,-0.0255,0.0219
92.8158,161.3309,-0.0254,0.0209
92.7469,161.2661,-0.0253,0.0207
92.8492,161.1949,-0.025,0.0208
93.0688,161.1315,-0.0249,0.0211
93.2976,161.1136,-0.0249,0.0215
93.6576,161.0716,-0.0248,0.0222
94.2566,161.0206,-0.0248,0.0235
94.1608,161.0269,-0.025,0.0235
93.994,161.0563,-0.0252,0.0233
93.9345,161.3075,-0.0255,0.0233
93.892,161.2923,-0.0256,0.0234
93.8742,161.441,-0.0257,0.0233
93.8526,161.5749,-0.0259,0.0233
93.3941,161.4375,-0.0264,0.0232
93.2972,161.281,-0.027,0.0239
93.033,161.1917,-0.0273,0.0238
93.0508,161.0483,-0.0272,0.024
92.9603,161.0182,-0.0272,0.0238
92.9439,160.9582,-0.0272,0.0238
93.2361,160.9629,-0.0272,0.0244
93.5075,160.9694,-0.0273,0.025
93.3695,161.0176,-0.0277,0.0252
93.3276,161.1132,-0.0279,0.0252
93.4863,161.1348,-0.0278,0.0254
93.7739,161.1701,-0.0278,0.0259
93.8374,161.1785,-0.0278,0.026
93.8931,161.1165,-0.0278,0.0261
94.2986,161.0195,-0.0277,0.0267
94.5453,160.954,-0.0277,0.0272
94.523,160.9449,-0.0278,0.0273
94.4422,161.0247,-0.028,0.0272
94.1502,161.4032,-0.0285,0.0268
94.2281,161.4282,-0.0286,0.027
93.8672,161.4939,-0.0287,0.0265
93.3965,161.5791,-0.0288,0.0256
93.4092,161.6028,-0.0289,0.0257
93.5221,161.5558,-0.0288,0.0258
93.9437,161.5062,-0.0287,0.0266
94.2052,161.4559,-0.0286,0.0271
94.6235,161.4204,-0.0286,0.0279
