neck_angle,spine_angle,forward_head_offset,shoulder_tilt
95.1063,159.9582,-0.0101,0.0135
95.0527,160.3138,-0.0104,0.0136
95.4554,160.2362,-0.0095,0.0136
95.6539,161.0125,-0.0096,0.0137
95.4142,161.4858,-0.0102,0.0136
94.0865,161.4893,-0.0102,0.0115
93.703,161.5071,-0.0098,0.0107
94.8204,161.6498,-0.0097,0.0121
92.7781,161.408,-0.012,0.0112
93.7054,161.0905,-0.0103,0.0114
94.1382,160.9414,-0.0096,0.0115
94.7828,160.972,-0.0095,0.0124
94.6672,161.1807,-0.0095,0.0121
92.4885,161.0314,-0.0106,0.01
92.3234,161.0717,-0.0105,0.0097
91.3281,160.7568,-0.011,0.0087
91.4138,160.5915,-0.011,0.009
91.6489,160.7055,-0.0111,0.0095
92.8373,160.6112,-0.011,0.0112
93.55,160.5697,-0.0104,0.0119
93.4574,160.3999,-0.0105,0.0119
93.4556,160.2905,-0.0106,0.0121
93.1384,160.063,-0.0105,0.0115
92.8229,159.9597,-0.0102,0.0108
92.6817,159.9223,-0.0102,0.0105
92.0148,159.7604,-0.0105,0.0098
91.4692,159.7094,-0.011,0.0093
92.0519,159.6623,-0.0094,0.0089
92.1828,159.5337,-0.0089,0.0087
92.6431,159.427,-0.0087,0.0094
92.7525,159.3376,-0.0087,0.0095
92.2512,159.4383,-0.0088,0.0088
92.3217,159.5432,-0.0087,0.0089
93.2156,159.829,-0.0079,0.0094
94.0195,160.09,-0.0085,0.011
95.0326,160.5223,-0.01,0.0136
92.8181,160.7582,-0.0113,0.0111
93.7456,161.1208,-0.0117,0.0128
93.2662,161.3542,-0.0126,0.0126
92.1447,161.3602,-0.0135,0.0115
93.3384,161.5521,-0.0123,0.0121
93.5359,161.4785,-0.0129,0.013
96.2016,161.6076,-0.0114,0.0155
96.5908,161.5311,-0.0111,0.0157
98.0118,161.6397,-0.01,0.0168
97.9883,161.6295,-0.0096,0.0164
97.6353,161.5167,-0.0096,0.0159
97.4573,161.3051,-0.0089,0.0151
98.6959,161.2379,-0.009,0.017
99.4718,161.3473,-0.0086,0.0182
99.6306,161.2925,-0.0089,0.0189
99.5683,161.1098,-0.0087,0.0189
97.8052,161.1635,-0.0089,0.0164
96.7311,161.8648,-0.0108,0.0162
96.3768,162.3517,-0.0115,0.0157
95.3699,162.5201,-0.0125,0.015
95.4099,162.5771,-0.0126,0.0152
95.298,162.7051,-0.0131,0.0153
94.8969,162.7655,-0.0138,0.0152
95.2596,162.6642,-0.0135,0.0155
94.6623,162.8775,-0.014,0.0148
94.4358,162.9463,-0.014,0.0143
93.9322,162.86,-0.014,0.0135
93.2724,162.8159,-0.0145,0.013
92.097,162.7008,-0.0154,0.0121
91.8725,162.513,-0.0153,0.0118
92.072,162.3529,-0.0149,0.0119
92.2653,162.4616,-0.015,0.0122
