neck_angle,spine_angle,forward_head_offset,shoulder_tilt
169.3185,168.9195,0.031,0.0457
169.4908,168.9157,0.031,0.0463
169.3851,168.9433,0.031,0.0466
170.5961,168.9619,0.0315,0.0468
151.1163,168.97,0.0253,0.0385
160.0904,168.787,0.028,0.0408
156.9379,168.5782,0.0265,0.0396
162.1702,168.5959,0.0281,0.0416
164.3485,168.6595,0.0288,0.0428
166.1573,168.6872,0.0295,0.043
168.4246,168.6842,0.0303,0.0431
171.6206,168.7448,0.0316,0.0437
173.4544,168.7597,0.0323,0.0441
174.6443,168.7748,0.0328,0.0442
174.6134,168.7906,0.0327,0.0443
174.862,168.746,0.0327,0.0444
174.9211,168.7832,0.0327,0.0446
174.8187,168.824,0.0327,0.0446
174.8595,168.9058,0.0326,0.0452
176.3088,168.8153,0.0323,0.0468
177.4118,168.5296,0.0318,0.0481
168.8675,168.328,0.0281,0.0461
171.0448,168.3076,0.0287,0.0474
173.125,168.2712,0.0292,0.0491
173.1914,168.2733,0.0291,0.0491
174.6315,168.3106,0.0297,0.0498
174.3419,168.5127,0.03,0.0501
174.5114,168.5129,0.03,0.0503
174.7121,168.4407,0.0298,0.051
175.2096,168.3816,0.0298,0.0513
175.2433,168.3985,0.0299,0.0507
175.7875,168.2939,0.0299,0.0506
176.2192,168.2255,0.0299,0.0515
170.6756,167.9073,0.0275,0.0485
166.5731,167.7403,0.0259,0.0461
171.4097,167.5632,0.027,0.0498
174.3503,167.4278,0.0276,0.0515
175.9866,167.3209,0.028,0.0526
176.9351,167.4122,0.0287,0.0534
171.1177,167.472,0.0268,0.0484
173.3486,167.4158,0.0276,0.0492
173.8093,167.4819,0.0277,0.0509
174.4815,167.4712,0.0279,0.0516
174.3796,167.4949,0.028,0.0519
174.2282,167.5328,0.028,0.0521
174.1292,167.5805,0.0281,0.0518
174.2625,167.4365,0.0279,0.0517
174.086,167.4698,0.028,0.0515
168.422,167.39,0.0261,0.0475
173.6604,167.4156,0.0282,0.0497
175.5906,167.2558,0.0285,0.0512
177.4716,167.1052,0.029,0.0522
178.4663,167.1278,0.0296,0.0525
178.8195,167.0647,0.03,0.0537
178.8208,167.0802,0.0301,0.0541
178.0514,167.0852,0.0306,0.0542
178.1928,167.1876,0.0308,0.0546
178.5913,167.2569,0.0306,0.0554
178.815,167.3066,0.0305,0.0556
178.4576,167.8555,0.0309,0.056
176.8079,168.2251,0.0308,0.0565
175.6452,168.5691,0.031,0.0573
175.4483,168.6597,0.0312,0.0592
174.9722,168.926,0.0316,0.0593
175.01,168.9262,0.0316,0.0594
175.3052,168.9265,0.0318,0.0593
175.932,168.9138,0.0321,0.0592
176.6298,168.8357,0.0323,0.0594
176.9701,168.7599,0.0322,0.0597
177.4269,168.582,0.032,0.0602
177.8077,168.4013,0.0317,0.0601
170.4937,168.1516,0.0286,0.0544
169.8819,167.483,0.0273,0.0514
173.5135,167.4706,0.0288,0.0519
