neck_angle,spine_angle,forward_head_offset,shoulder_tilt
155.762,170.0523,-0.0218,0.0438
143.5202,168.6188,-0.0176,0.0448
151.041,169.3934,-0.0196,0.0451
151.178,169.8031,-0.019,0.0457
150.2127,169.8272,-0.0185,0.0457
149.5961,168.6707,-0.0188,0.049
161.8238,169.5071,-0.0213,0.0545
158.7389,170.6247,-0.0183,0.0604
148.4467,168.7973,-0.0146,0.0523
151.1711,169.2179,-0.0155,0.0539
150.0474,169.0125,-0.0159,0.0522
144.7409,167.4854,-0.0174,0.0494
143.7258,167.2482,-0.0186,0.0486
127.2581,164.7022,-0.018,0.0317
120.5328,162.5511,-0.0218,0.024
124.8281,162.5145,-0.0251,0.0252
132.8297,162.6646,-0.031,0.0264
145.2187,166.2466,-0.0263,0.0422
138.101,165.7544,-0.0284,0.0352
134.7414,164.8532,-0.0289,0.032
131.2955,164.2702,-0.0293,0.0306
130.8944,164.2305,-0.0315,0.0276
158.6385,164.2838,-0.0423,0.0359
153.4701,164.6257,-0.0401,0.0341
164.8822,167.4263,-0.037,0.0491
154.5128,166.762,-0.0331,0.0458
151.8601,166.8151,-0.0313,0.049
158.0322,166.9568,-0.0339,0.0513
151.7005,166.6796,-0.0315,0.0518
149.2406,166.355,-0.0324,0.0491
139.627,166.5506,-0.0304,0.0398
153.7671,167.0078,-0.0317,0.0597
145.6027,164.3543,-0.03,0.0617
157.8431,164.9357,-0.0366,0.0649
167.9387,166.8419,-0.039,0.0652
149.973,166.1479,-0.0314,0.0573
155.5499,167.67,-0.0297,0.0674
157.6544,168.5769,-0.0286,0.0685
160.0295,168.5436,-0.0291,0.0743
158.469,168.2036,-0.0285,0.0719
175.5375,169.9171,-0.0354,0.0761
165.2828,169.4983,-0.0302,0.0747
166.8358,169.9647,-0.0292,0.0776
162.6081,169.8595,-0.0269,0.0788
164.074,169.6667,-0.0276,0.0784
170.8327,170.1039,-0.0309,0.0798
173.5903,170.266,-0.0323,0.0832
175.202,170.588,-0.0329,0.0904
172.5147,168.5506,-0.034,0.0927
176.6247,168.7514,-0.0356,0.0912
176.8388,169.5156,-0.0346,0.0919
170.9636,169.9546,-0.0328,0.0817
166.8727,169.6356,-0.0304,0.0756
172.6754,170.3607,-0.0324,0.089
167.6542,169.2224,-0.0307,0.0864
172.8811,169.3104,-0.034,0.0911
155.6034,168.2575,-0.0249,0.0814
155.6997,167.7852,-0.0273,0.0745
177.0662,171.8234,-0.0334,0.0802
174.8473,170.7283,-0.0338,0.078
171.8526,169.5513,-0.0339,0.0741
158.8488,167.756,-0.0298,0.0671
162.5091,168.1009,-0.0303,0.0701
163.5161,167.7567,-0.0302,0.0726
157.4196,167.2409,-0.0278,0.0675
156.5064,167.303,-0.0272,0.0666
156.937,166.8785,-0.0276,0.0673
175.9896,167.9066,-0.036,0.071
177.1954,169.4869,-0.0364,0.0731
168.6405,170.0278,-0.0401,0.0739
174.2187,169.5973,-0.0369,0.0792
176.2466,169.5909,-0.0359,0.0806
176.9032,169.5033,-0.0358,0.0818
177.9311,168.8968,-0.0358,0.0727
