neck_angle,spine_angle,forward_head_offset,shoulder_tilt
166.3233,159.2135,-0.0366,0.0662
166.1594,159.2339,-0.0364,0.0663
166.3178,159.0427,-0.0364,0.0666
166.2925,158.9725,-0.0364,0.0664
166.4914,158.8731,-0.0362,0.0659
166.5106,158.9284,-0.0362,0.0655
165.8429,158.8448,-0.0365,0.0632
164.5467,158.7435,-0.0369,0.0604
163.2882,158.9152,-0.0365,0.0579
161.8017,159.0798,-0.0365,0.0554
161.3778,159.4559,-0.0358,0.056
162.3786,160.2355,-0.036,0.0565
161.5842,160.1774,-0.0365,0.0575
161.8317,160.1828,-0.0369,0.0591
161.1095,159.879,-0.0376,0.0599
160.2687,159.8715,-0.0382,0.0603
158.3897,159.7311,-0.039,0.0604
158.7539,159.5616,-0.0393,0.0647
158.7626,159.346,-0.0394,0.065
158.691,159.265,-0.0395,0.065
158.985,158.7444,-0.0401,0.0658
158.9795,158.4158,-0.0407,0.0665
159.3419,158.1774,-0.0407,0.0668
159.2138,158.2046,-0.0408,0.0664
159.4255,157.9828,-0.0411,0.0683
158.7632,158.0335,-0.0411,0.0674
158.9605,158.0044,-0.0412,0.0691
159.003,157.9849,-0.0413,0.0699
159.0225,158.001,-0.0413,0.0699
158.8599,158.0494,-0.0413,0.0694
158.6631,158.2365,-0.0411,0.0693
159.721,158.3075,-0.0405,0.0686
161.9095,158.324,-0.0394,0.069
163.0232,158.4308,-0.0388,0.0691
162.6962,158.5633,-0.0386,0.0648
164.1388,158.5474,-0.0378,0.0644
164.5986,158.5429,-0.0375,0.0641
164.5973,158.5581,-0.0375,0.0634
164.4906,159.0283,-0.0378,0.0632
164.7425,158.854,-0.0379,0.0634
164.7098,158.7814,-0.0383,0.0629
162.9961,158.9722,-0.039,0.0622
160.9849,158.8577,-0.0399,0.0617
160.0951,158.6175,-0.0403,0.062
159.5683,158.5179,-0.0405,0.0623
159.1148,158.4702,-0.0409,0.0623
158.8434,158.4239,-0.0412,0.0623
158.6142,158.6771,-0.0415,0.064
158.3352,158.651,-0.0419,0.0643
158.3087,159.1354,-0.042,0.0643
158.3021,159.163,-0.0421,0.0644
157.7578,158.9146,-0.0425,0.0638
157.6723,158.8945,-0.0429,0.065
156.5515,158.9302,-0.0434,0.0642
157.382,158.8481,-0.043,0.0652
157.3166,158.8963,-0.0429,0.0651
