neck_angle,spine_angle,forward_head_offset,shoulder_tilt
66.6069,153.6544,-0.0569,0.0028
66.4124,153.5957,-0.057,0.0028
66.1968,153.5339,-0.057,0.0028
64.6606,153.3848,-0.0574,0.0025
63.7777,153.8036,-0.0577,0.0023
58.2736,153.5359,-0.0585,0.0006
53.1761,153.4292,-0.0593,0.0013
50.447,153.075,-0.0596,0.0023
48.8541,152.6781,-0.0601,0.0028
48.5274,152.5092,-0.0591,0.0028
45.964,152.1455,-0.0586,0.0034
44.4769,151.8601,-0.0581,0.0035
44.1039,151.5304,-0.0581,0.0034
42.5234,151.2896,-0.0578,0.0035
42.9934,151.2615,-0.0577,0.0033
41.4972,151.17,-0.0577,0.0036
41.8183,151.1594,-0.0579,0.0036
48.8221,151.1123,-0.058,0.0018
50.8258,151.3848,-0.0578,0.0014
56.4279,151.4559,-0.0591,0.0001
62.4516,151.7027,-0.0595,0.0021
63.4049,151.7937,-0.0601,0.0027
64.6272,151.7839,-0.0601,0.0033
65.4169,151.7699,-0.0607,0.0039
65.3662,151.4811,-0.0607,0.0038
62.3589,151.4129,-0.0609,0.0027
64.2869,151.3255,-0.0611,0.0034
65.7704,151.3413,-0.0601,0.0034
67.7066,151.4591,-0.0603,0.0042
68.0489,151.3855,-0.0607,0.0044
66.9379,151.5043,-0.0612,0.0043
61.034,151.4861,-0.0619,0.0024
56.2099,151.2513,-0.0619,0.0007
53.1607,151.2867,-0.0602,0.0007
52.2687,151.5466,-0.0605,0.001
51.3722,151.5992,-0.0612,0.0014
50.7712,151.7013,-0.0612,0.0016
47.0489,151.8582,-0.0611,0.0034
46.992,151.851,-0.0609,0.0035
46.9562,151.9878,-0.0608,0.0036
47.8222,152.1947,-0.0607,0.0032
48.5085,152.2145,-0.0606,0.003
48.5422,152.3617,-0.0608,0.003
46.0609,152.3784,-0.0631,0.0043
45.8682,152.4119,-0.0629,0.0044
45.8535,152.9823,-0.0623,0.0043
46.7969,152.1956,-0.0622,0.0035
45.9165,151.5765,-0.0625,0.0036
44.4422,150.6535,-0.063,0.0039
46.0426,151.1341,-0.0628,0.0034
49.3222,151.5516,-0.0625,0.0022
48.4028,151.6577,-0.0622,0.0026
47.153,151.8309,-0.0619,0.0032
44.9199,151.7947,-0.0615,0.0041
40.2293,151.8801,-0.0594,0.0051
40.3217,151.9794,-0.0594,0.0052
42.5,152.3571,-0.0593,0.0044
45.1195,152.4852,-0.0592,0.0037
47.6976,152.9968,-0.0579,0.0029
50.5833,153.6624,-0.0568,0.0022
52.2579,154.1121,-0.0559,0.0018
56.4887,154.6335,-0.0552,0.0007
57.2603,155.0962,-0.0556,0.0005
61.2641,155.9529,-0.0549,0.0007
60.6333,156.1756,-0.0554,0.0006
58.7251,156.4007,-0.056,0.0001
56.7426,156.7164,-0.0561,0.0007
53.5624,156.747,-0.056,0.0021
53.7758,156.9477,-0.0543,0.0021
55.0235,157.161,-0.0534,0.0016
56.4752,157.2103,-0.0539,0.0011
