neck_angle,spine_angle,forward_head_offset,shoulder_tilt
64.0458,170.2028,0.0149,0.045
65.5301,169.739,0.019,0.0412
71.2186,167.4103,0.0237,0.0356
78.3092,166.1756,0.0258,0.0274
77.0261,165.9904,0.0307,0.0279
76.3521,165.7845,0.031,0.0289
67.1171,164.904,0.0268,0.0458
70.3048,164.9856,0.0298,0.0385
71.7648,164.8553,0.0289,0.0369
71.4555,164.6329,0.0284,0.0375
60.6488,164.6139,0.0272,0.0574
65.5137,164.4132,0.0266,0.0488
68.6817,164.3964,0.0268,0.0434
71.4897,164.5296,0.0275,0.0385
72.574,164.0177,0.0282,0.0367
72.3273,164.1091,0.0278,0.0367
71.9157,164.298,0.0284,0.0364
70.7148,164.5738,0.0305,0.0364
69.4247,164.7766,0.0324,0.0362
68.5105,164.8074,0.0339,0.0361
68.6776,164.9987,0.0328,0.036
69.0273,165.2785,0.0318,0.0355
69.265,165.6816,0.0308,0.0345
69.409,165.9511,0.0308,0.0332
68.8148,166.112,0.0311,0.0332
68.3351,166.4329,0.0316,0.0328
68.2906,166.5147,0.0316,0.0326
67.673,166.7507,0.0312,0.0333
67.4423,166.8139,0.031,0.0335
67.2661,166.7748,0.0307,0.0339
67.3499,166.8096,0.0313,0.0333
67.7256,167.1427,0.0323,0.0315
68.2304,167.317,0.0321,0.0306
68.4508,167.3277,0.0325,0.0298
68.9529,167.2774,0.0327,0.0292
69.0694,167.2543,0.0328,0.0291
69.3287,167.2069,0.0327,0.0291
70.0517,166.9596,0.0333,0.0283
69.9282,167.0144,0.0343,0.0277
70.5225,167.0241,0.0345,0.027
70.7582,166.9668,0.0346,0.0268
70.7371,167.0598,0.0346,0.0267
71.2451,167.0952,0.034,0.0266
71.938,167.2152,0.0338,0.0261
72.1598,167.2618,0.0339,0.0258
72.463,167.2509,0.0334,0.026
72.8798,167.1973,0.0335,0.0258
73.712,167.1084,0.0338,0.025
76.2504,166.9708,0.0298,0.0245
76.1589,167.4934,0.0326,0.0233
78.8322,167.1437,0.0258,0.023
76.3812,167.1767,0.0279,0.0255
75.7772,166.9495,0.0276,0.0265
75.023,166.984,0.0276,0.0275
74.6899,166.9839,0.0277,0.028
74.4262,166.8819,0.0281,0.0283
74.519,166.8765,0.0282,0.0282
74.9,166.8549,0.0283,0.0277
74.3104,166.879,0.0287,0.0282
73.5985,166.8579,0.0286,0.0292
72.6873,166.9339,0.0288,0.0303
64.5638,167.045,0.0199,0.0481
