neck_angle,spine_angle,forward_head_offset,shoulder_tilt
96.9782,168.4832,-0.0287,0.0212
97.2611,168.3089,-0.0281,0.0211
98.8572,168.2165,-0.0266,0.0212
99.9471,168.0644,-0.025,0.0206
101.2152,167.3928,-0.0241,0.0212
101.2072,167.5051,-0.0237,0.0214
100.671,167.5017,-0.024,0.0214
100.3951,167.7377,-0.0242,0.0214
100.2456,167.642,-0.0242,0.0214
100.2784,167.5939,-0.0242,0.0216
100.3272,167.5612,-0.0243,0.0217
100.3868,167.5603,-0.0245,0.0222
98.9949,167.4357,-0.026,0.0229
98.0809,167.4905,-0.028,0.0247
99.0237,167.5496,-0.028,0.026
99.0318,167.5945,-0.028,0.026
99.0915,167.6332,-0.0282,0.0263
98.8002,167.6262,-0.0282,0.026
98.2403,167.675,-0.0285,0.0256
98.3193,167.7394,-0.0284,0.0254
98.4491,167.2875,-0.0274,0.0247
97.1874,166.7257,-0.0255,0.021
101.9725,164.3968,-0.0166,0.0189
98.6425,162.8198,-0.0125,0.0143
99.0165,161.07,-0.007,0.0124
99.1202,159.598,-0.0026,0.0107
99.6802,159.9443,-0.0044,0.0128
96.2222,159.7603,-0.0073,0.0111
93.507,160.2237,-0.0116,0.0107
94.2717,160.8477,-0.0116,0.0118
94.6242,160.7108,-0.0111,0.0121
94.2117,160.5106,-0.0129,0.0134
95.3806,160.7994,-0.0113,0.0135
95.7793,161.1247,-0.0107,0.0135
96.0575,161.2555,-0.0105,0.0136
95.8019,161.3939,-0.0111,0.0137
95.7809,161.6124,-0.012,0.0145
96.3697,161.7408,-0.012,0.0153
97.2766,161.615,-0.0114,0.016
97.9305,161.4408,-0.0103,0.0161
98.0829,161.4427,-0.0102,0.0161
98.7082,161.3989,-0.0094,0.0162
98.565,161.3923,-0.01,0.0167
98.7506,161.4028,-0.0103,0.0171
98.8732,161.371,-0.0101,0.0171
99.0572,161.3436,-0.0097,0.017
98.1074,161.175,-0.0107,0.0168
96.9412,161.1095,-0.0115,0.0161
95.9082,161.2502,-0.0124,0.0154
95.5509,161.2963,-0.0131,0.0156
94.9584,161.4415,-0.014,0.0154
94.9261,161.6116,-0.0148,0.016
95.0942,161.7165,-0.015,0.0163
95.154,161.7786,-0.0153,0.0167
95.3401,161.834,-0.0153,0.017
95.4536,161.8146,-0.0153,0.0171
95.3823,161.9064,-0.0155,0.0171
95.3127,162.0672,-0.0158,0.0172
95.373,162.195,-0.0162,0.0175
95.3716,162.2296,-0.0164,0.0176
95.4747,162.2622,-0.0163,0.0176
95.709,162.2698,-0.016,0.0177
96.1104,162.2638,-0.0156,0.0178
96.3282,162.2735,-0.0153,0.0178
96.8915,162.3074,-0.0146,0.0179
98.9537,162.3255,-0.0118,0.0179
98.8829,162.3701,-0.012,0.0179
98.9614,162.413,-0.012,0.018
98.1178,162.4467,-0.0136,0.0185
100.0983,162.6299,-0.0116,0.0192
101.7065,163.1415,-0.0107,0.0198
102.5494,164.3447,-0.011,0.0202
103.1205,164.293,-0.0098,0.0202
102.5033,164.1268,-0.0092,0.0192
102.438,163.8785,-0.0083,0.0185
102.8153,163.9664,-0.0086,0.0183
102.8762,164.0215,-0.008,0.0179
104.1165,164.8463,-0.0068,0.0171
100.1944,165.2266,-0.0118,0.0176
99.7387,165.1896,-0.0131,0.0185
97.0043,165.1782,-0.0168,0.0185
96.9479,164.2731,-0.0156,0.0181
96.3854,162.845,-0.015,0.018
96.701,161.9394,-0.014,0.0183
96.9938,160.6542,-0.0129,0.0194
96.8074,160.2372,-0.0126,0.0192
96.9538,160.1523,-0.0125,0.0193
98.1075,159.6296,-0.0107,0.0196
99.4324,159.0131,-0.0081,0.0189
99.5879,158.412,-0.0077,0.0187
99.6645,158.4095,-0.0077,0.0187
100.2564,158.2204,-0.0074,0.0194
100.6252,158.0724,-0.0071,0.0196
100.45,158.0336,-0.0076,0.0197
100.7473,157.9452,-0.0079,0.0204
101.6612,157.9772,-0.0068,0.0204
102.4387,158.0289,-0.0053,0.0199
101.5312,158.0798,-0.0057,0.0189
101.447,158.1794,-0.0059,0.019
101.901,158.3529,-0.0061,0.0197
100.7107,158.474,-0.0077,0.0196
100.5749,158.5176,-0.0079,0.0196
