neck_angle,spine_angle,forward_head_offset,shoulder_tilt
97.6193,174.0444,-0.0548,0.0323
97.606,173.9599,-0.0548,0.0324
98.0268,173.7826,-0.055,0.0332
98.3678,173.6846,-0.0554,0.034
99.3088,173.6354,-0.0557,0.0358
101.5291,173.6252,-0.056,0.0398
100.8778,173.5439,-0.0574,0.0419
102.1484,173.4383,-0.0568,0.0421
101.5643,173.2471,-0.057,0.0407
101.5419,173.1869,-0.057,0.0395
100.4377,172.9273,-0.0575,0.0379
100.1566,172.7474,-0.0577,0.037
101.4897,172.4897,-0.0572,0.0367
101.6727,172.4357,-0.0574,0.0372
101.7437,172.4042,-0.0576,0.0375
101.5624,172.4137,-0.0576,0.0374
101.8636,172.5475,-0.0575,0.0378
101.3891,172.5654,-0.0578,0.0378
101.0801,172.6798,-0.0581,0.0383
100.7275,172.8257,-0.0587,0.0394
99.9202,172.9753,-0.0591,0.0397
99.8438,173.1132,-0.0591,0.04
100.1114,173.0987,-0.0593,0.0412
100.3399,173.0603,-0.0594,0.0417
100.9915,172.9827,-0.0591,0.042
101.2415,172.968,-0.0591,0.0423
101.7404,172.8748,-0.0588,0.042
101.9517,172.8666,-0.0585,0.0417
101.7738,172.7012,-0.0587,0.0413
101.3639,172.541,-0.0588,0.0406
100.9097,172.5289,-0.0591,0.0406
100.8086,172.3809,-0.0593,0.0403
100.7468,172.3157,-0.0592,0.04
100.5344,172.1311,-0.0594,0.0395
100.3335,171.9741,-0.0594,0.039
100.3601,171.8387,-0.0593,0.0386
99.646,171.5657,-0.0595,0.0372
98.9998,171.5266,-0.0595,0.0361
98.4685,171.4918,-0.0594,0.0352
98.1382,171.3222,-0.0594,0.0341
98.2148,170.9616,-0.0597,0.0336
97.3781,170.7039,-0.0605,0.0331
96.5469,170.7483,-0.0607,0.0324
96.1411,170.5294,-0.0612,0.0321
95.5669,170.8263,-0.0611,0.0321
95.0073,171.144,-0.0612,0.0323
94.7757,171.2814,-0.0614,0.0325
94.7398,171.3867,-0.0614,0.0327
94.9089,171.3271,-0.0614,0.0327
94.9036,171.3255,-0.0615,0.0328
94.8064,171.2918,-0.0615,0.0328
94.505,171.292,-0.0618,0.0328
93.9054,171.2723,-0.0623,0.0328
93.7553,171.3293,-0.0626,0.0332
94.3629,171.5582,-0.0628,0.0344
94.7908,171.7934,-0.0629,0.0355
