neck_angle,spine_angle,forward_head_offset,shoulder_tilt
102.2195,171.8529,-0.0081,0.0087
101.1137,171.7357,-0.0095,0.0083
100.0375,172.5059,-0.0111,0.0093
99.854,171.8242,-0.0129,0.0092
98.7705,172.4529,-0.013,0.009
100.7139,172.6274,-0.0115,0.0095
102.6341,172.3082,-0.0112,0.0105
103.2032,172.0888,-0.0109,0.0108
104.8122,172.26,-0.0106,0.012
105.6892,172.1606,-0.0103,0.0126
105.0002,172.0568,-0.0105,0.0122
105.6902,172.6799,-0.0073,0.0115
104.0455,172.2645,-0.0095,0.012
100.0729,169.751,-0.0153,0.0114
100.9125,171.0152,-0.0113,0.0108
100.8849,170.9996,-0.0098,0.0098
97.2051,171.4727,-0.0082,0.0069
95.4845,172.0376,-0.0095,0.0069
95.1328,172.1748,-0.009,0.0067
91.5041,171.9972,-0.0083,0.0035
90.8184,172.1862,-0.0082,0.003
91.0519,172.8004,-0.0061,0.0024
91.6542,173.3133,-0.004,0.0022
93.9859,172.814,-0.0019,0.0028
92.2315,172.9,-0.001,0.0015
92.1824,173.4274,0.0002,0.0012
92.3224,173.1238,-0.0001,0.0013
92.3573,172.9507,-0.0005,0.0014
92.8376,172.9225,-0.0005,0.0017
93.0478,173.1011,-0.0004,0.0019
91.3325,173.1864,-0.0005,0.0009
90.3627,173.2475,-0.0004,0.0003
89.5314,173.2196,-0.0013,0.0
88.5509,173.5343,-0.0,0.0008
88.2733,173.876,0.001,0.0012
88.154,174.2027,0.0014,0.0014
89.3115,174.6888,0.0012,0.0007
91.426,174.4256,-0.0008,0.0011
92.1234,174.4807,-0.0013,0.0017
95.3858,175.0407,-0.0005,0.0039
98.1769,175.2573,-0.0008,0.006
100.4166,175.0483,-0.0015,0.0082
102.9392,174.8042,-0.002,0.0103
103.443,174.8549,-0.0024,0.011
104.0198,174.8544,-0.0027,0.0117
104.0644,174.7488,-0.0034,0.0122
103.2735,174.4673,-0.0048,0.0122
101.0385,174.1788,-0.0076,0.0121
99.9453,173.9186,-0.0083,0.0114
98.7493,173.7953,-0.0089,0.0105
96.3754,173.5642,-0.01,0.0088
95.0356,172.9165,-0.0118,0.0085
93.6485,172.6653,-0.0128,0.0077
93.0707,172.4886,-0.0134,0.0074
92.9888,171.9628,-0.0136,0.0074
92.5299,171.6981,-0.0142,0.0071
92.4392,171.3937,-0.015,0.0073
93.7597,171.4415,-0.0146,0.0082
95.0787,169.9879,-0.0147,0.0083
94.2692,169.8977,-0.0152,0.0079
93.723,168.9964,-0.0165,0.0077
93.9062,168.7135,-0.0166,0.0076
94.3063,168.6538,-0.0158,0.0074
94.7141,168.623,-0.0154,0.0074
95.2884,168.2892,-0.0153,0.0075
95.2737,168.2036,-0.0154,0.0074
95.168,167.9442,-0.0161,0.0075
94.5403,167.9529,-0.017,0.0075
93.944,168.0289,-0.0177,0.0075
93.7645,167.8758,-0.0175,0.0073
